id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4lastname,member4firstname
89,men,open,14:37:56,1220,0,,AUS,Cam,Schubert,AUS,,Oliver,Schubert,,,,,,
97,mixed,youth,23:55:10,1220,0,,AUS,Tim,Barnett,AUS,,Ainsley,Pahljina,,,,,,
45,mixed,veteran,16:30:07,1210,0,,AUS,Nigel,Moore,AUS,,Lisa,Scott-Irving,,,,,,
113,men,open,19:59:42,1200,0,,AUS,Glenn,Disalvia,AUS,,Kevin,Smith,,,,,,
109,men,open,20:29:30,1200,0,,AUS,Jared,Brown,AUS,,Richard,Hatfull,,,,,,
94,men,veteran,14:31:52,1190,0,,AUS,Peter,Velloza,AUS,,Derrick,Mckenzie,,,,,,
111,mixed,superveteran,21:28:42,1190,0,,AUS,Stephen,Honey,AUS,,Martina,Honey,,,,,,
93,men,open,14:07:33,1150,0,,AUS,Sean,Massey-Reed,AUS,,Casey,Fulton,,,,,,
31,mixed,veteran,15:32:46,1150,0,,AUS,Douglas,Gillott,AUS,,Shawnie,Maunder,AUS,Sandi,Gillott,,,
123,men,open,13:43:04,1140,0,,AUS,Michael,Brooke,AUS,,Thomas,Mcintyre,,,,,,
47,mixed,superveteran,19:46:40,1140,0,,AUS,Marg,Cook,AUS,,Rob,Cook,,,,,,
13,mixed,open,17:15:55,1130,0,,AUS,Karen,Beath,AUS,,Nick,Allan,,,,,,
1,mixed,veteran,21:15:43,1130,0,,AUS,Fiona,Quinn,AUS,,Darryn,Quinn,,,,,,
78,mixed,superveteran,15:45:07,1120,0,,AUS,Bob,Houghton,AUS,,Alexina,Johnson,,,,,,
82,men,superveteran,17:29:47,1110,0,,AUS,Mark,Hurry,AUS,,Anthony,Slatyer,AUS,William,Cox,,,
35,mixed,superveteran,23:25:17,1100,0,,AUS,Richard,Sage,AUS,,Nihal,Danis,,,,,,
119,men,veteran,12:14:20,1060,0,,AUS,Guy,O'neill,AUS,,Jaime,Mcguire,,,,,,
101,men,open,14:08:02,1030,0,,AUS,Jack,Nottle,AUS,,Ned,Gordon,,,,,,
105,mixed,veteran,18:48:25,1030,0,,AUS,Kerrie,Gagel,AUS,,Alex,Gagel,,,,,,
61,mixed,open,13:39:47,1000,0,,AUS,Andrew,Earle,AUS,,Chloe,Earle,,,,,,
71,men,veteran,14:01:48,1000,0,,AUS,Wayne,Anderson,AUS,,Michael,Taylor,,,,,,
41,men,open,17:16:27,1000,0,,AUS,Huy,Tuong Cao,AUS,,Oliver,Linder-Patton,AUS,Riley,Lodge,AUS,Tyron,Bettison
98,women,open,12:36:20,990,0,,AUS,Alison,Burrill,AUS,,Kelsey,Harvey,,,,,,
77,mixed,superveteran,14:11:56,960,0,,AUS,Philip,Burrill,AUS,,Marion,Burrill,,,,,,
62,mixed,veteran,23:02:39,940,0,,NZL,Brian,Wilson,NZL,,Els,Coster,,,,,,
100,mixed,open,9:44:36,890,0,,AUS,Moira,Rice,AUS,,Mark,Bateup,AUS,Dingo,Jahn,AUS,Fabian,Zander
120,men,open,20:07:16,870,0,,AUS,Ben,Corkery,AUS,,Ajay,Susarla,,,,,,
114,mixed,veteran,21:24:11,860,0,,NZL,Ken,Livingston,AUS,,Hubertien,Wichers,,,,,,
107,mixed,veteran,13:54:13,850,0,,AUS,Allan,Bourke,AUS,,Melody,De Laat,,,,,,
43,women,veteran,12:34:20,840,0,,AUS,Linda,Davis,AUS,,Lia,Johnson,,,,,,
86,men,superveteran,13:21:03,840,0,,AUS,Tony,Sullivan,AUS,,Peter,Ashby,,,,,,
108,men,youth,9:39:39,830,0,,AUS,Andrew,Frank,AUS,,Gerry,Gralton,AUS,Hamish,Macpherson,,,
116,mixed,open,12:04:31,720,0,,AUS,Nigel,De Voogd,AUS,,Maxine,De Voogd,AUS,Jordan,De Voogd,,,
80,mixed,open,11:49:39,710,0,,AUS,Ollie,Saare,AUS,,Mollie,O'connor,,,,,,
37,mixed,open,18:44:08,690,0,,AUS,Trevor,Peduzie,AUS,,Leah,Gustafson,,,,,,
122,men,veteran,8:57:50,670,0,,AUS,Craig,Richmond,AUS,,Scotty,Farrell,,,,,,
102,mixed,superveteran,6:43:02,630,0,,AUS,Mark,Petrie,AUS,,Kathy,Petrie,,,,,,
63,mixed,open,9:26:33,570,0,,AUS,Suwati,Lowth,AUS,,Kye,Lowth,,,,,,
125,mixed,open,7:34:34,510,0,,AUS,Jodie,Murray,AUS,,Lauren,Mcconnell,AUS,Ross,Murray,,,
12,men,youth,5:47:35,480,0,,NZL,Reuben,Scott,NZL,,Josh,Janssen,,,,,,
67,mixed,veteran,9:52:52,460,0,,AUS,Linda,Hibberd,AUS,,Darren,Hibberd,,,,,,
65,women,open,10:15:00,340,0,,JPN,Maiko,Kato,JPN,,Shoko,Kai,,,,,,
56,mixed,ultraveteran,10:14:03,300,0,,AUS,Robert,Montggomery,AUS,,Pamela,Montgomery,,,,,,
6,mixed,superveteran,9:51:59,160,0,,AUS,Margaret,Blott,AUS,,Tony,Blott,,,,,,
26,men,youth,14:10:01,50,0,,AUS,No,Name,AUS,,,,,,,,,
92,women,open,7:21:50,30,0,,AUS,No,Name,AUS,,,,,,,,,
118,mixed,open,10:02:28,0,0,,AUS,Grace,Bourke,AUS,,Tim,Eschebach,,,,,,
124,men,veteran,10:15:18,0,0,,AUS,Ross,Mckinnon,AUS,,Matthew,Routley,,,,,,
99,men,youth,14:00:42,0,0,,AUS,James,Hardcastle,AUS,,Florian,Poff,,,,,,
