id;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
27;women;open;BARBER;Jessie-Leigh;AUS;DIGGIN;Megan;AUS;MOORE;Sharyn;AUS;;;;;;;6:33:09;570;0;570;
56;men;open;ARNOLD;Trent;AUS;ARNOLD;Joskun;AUS;ARNOLD;Matthew;AUS;;;;;;;23:46:47;570;0;570;
17;mixed;open;SLAUGHTER;Pip;AUS;SLAUGHTER;Ella;AUS;SLAUGHTER;Rusty;AUS;SLAUGHTER;Thomas;AUS;;;;23:19:09;560;0;560;
47;mixed;open;HUNT;Roger;AUS;HUNT;Elizabeth;AUS;HUNT;Jessica;AUS;EGGLESTONE;Rolly;AUS;BURR;Nigel;AUS;8:51:15;530;0;530;
10;mixed;veteran;ZAPPARA;Ron;AUS;ZIEGLER;Carole;AUS;;;;;;;;;;23:51:26;530;0;530;
74;women;veteran;SPRY;Mary;AUS;WANG;Jing;AUS;;;;;;;;;;23:53:49;520;0;520;
8;mixed;veteran;PETERSON;Stephen;AUS;IWACHOW;Dana;AUS;;;;;;;;;;6:44:40;510;0;510;
81;mixed;ultraveteran;KAROL;Elizabeth;AUS;WELLINGTON;Paul;AUS;;;;;;;;;;22:57:04;500;0;500;
48;mixed;ultraveteran;DAWSON;Max;AUS;DAWSON;Noelle;AUS;;;;;;;;;;23:31:53;480;0;480;
91;mixed;open;AUSTIN;Kim;AUS;PRINCE;Michael;AUS;COLLINS;David;AUS;;;;;;;7:47:58;470;0;470;
73;women;superveteran;KEALLEY;Ce;AUS;BUSCH;Isabel;AUS;BECHTER-WUTHRICH;Barb;AUS;;;;;;;22:51:22;440;0;440;
116;mixed;superveteran;SIME;Doug;AUS;SIME;Sandra;AUS;;;;;;;;;;23:04:08;440;0;440;
101;mixed;open;BUSWELL;Mia;AUS;BUSWELL;Julia;AUS;RYAN;Alan;AUS;;;;;;;23:56:00;440;0;440;
72;men;superveteran;ADDENBROOKE;Peter;AUS;COUMBE;Terry;AUS;;;;;;;;;;21:33:58;420;0;420;
71;men;ultraveteran;MURDOCH;Graham;AUS;GEE;Colin;AUS;;;;;;;;;;22:22:44;420;0;420;
95;mixed;veteran;BAKER;Helen;AUS;BAKER;Anthony;AUS;;;;;;;;;;6:15:58;390;0;390;
1;mixed;superveteran;LETHBRIDGE;Nick;AUS;LETHBRIDGE;Debra;AUS;MORETTA;Gaye;AUS;;;;;;;4:30:56;380;0;380;
67;men;veteran;SPENCER;Ian;AUS;MONTGOMERY;Russel;AUS;;;;;;;;;;4:59:47;380;0;380;
70;mixed;veteran;SERTIS;Steve;AUS;HARRIS;Charmaine;AUS;;;;;;;;;;9:04:05;380;0;380;
7;mixed;veteran;CUMMINS;John;AUS;LANG;Wendy;AUS;;;;;;;;;;4:07:54;370;0;370;
122;men;open;GIFFORD;Rodney;AUS;GIFFORD;Darcy;AUS;GIFFORD;Stewart;AUS;;;;;;;23:49:20;370;0;370;
44;mixed;open;NICHOLLS;Richard;AUS;NICHOLLS;Maya;AUS;;;;;;;;;;6:01:38;330;0;330;
96;mixed;superveteran;MANSFIELD;Steven;AUS;MANSFIELD;Patricia;AUS;DE;Laurel;AUS;;;;;;;23:55:43;330;0;330;
77;women;open;FAIRWEATHER;Eleanor;AUS;FAIRWEATHER;Violet;AUS;ILES-FEALY;Kate;AUS;;;;;;;6:25:39;290;0;290;
40;mixed;superveteran;HARDING;Peter;AUS;HARDING;Marion;AUS;;;;;;;;;;5:41:21;280;0;280;
33;women;open;LANG;Lana;AUS;VAN;Belinda;AUS;;;;;;;;;;23:51:19;270;0;270;
130;women;open;LANG;Alison;AUS;BUSWELL;Lucy;AUS;;;;;;;;;;23:51:23;270;0;270;
66;women;superveteran;THORNTON;Bev;AUS;CILLI;Robyn;AUS;;;;;;;;;;5:25:08;240;0;240;
105;women;open;SUN;Huilin;AUS;SUN;Alice;AUS;;;;;;;;;;7:22:29;240;0;240;
