id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
350,mixed,veteran,22:20:04,292,0,finished,EST,Tõnis,Piirisild,UKR,Daria,Tomash,,,,,,
137,men,veteran,23:45:26,292,0,finished,LAT,Rolands,Auzinš,LAT,Normunds,Bakis,LAT,Janis,Girnis,,,
312,mixed,open,23:38:19,291,0,finished,UKR,Nadiia,Starikova,UKR,Dmytro,Starikov,UKR,Olena,Babych,,,
250,women,superveteran,23:54:23,290,0,finished,LAT,Baiba,Purina,LAT,Velga,Busa,,,,,,
348,mixed,veteran,23:52:24,289,0,finished,FIN,Olli,Pitkänen,FIN,Suvi,Pitkänen,,,,,,
227,women,veteran,23:48:28,288,0,finished,LTU,Inga,Žvinyte,LTU,Živile,Kanapkiene,,,,,,
122,men,junior,23:46:46,282,0,finished,UKR,Oleksandr,Hreshnov,UKR,Pepryk,Oleh,,,,,,
203,women,open,23:22:22,281,0,finished,LAT,Aleksandra,Fjodorova,LAT,Aiva,Klepere,,,,,,
305,mixed,open,23:55:27,281,0,finished,LTU,Romas,Ceplinskas,LTU,Reda,Einikyte,LTU,Kestutis,Vaicius,,,
205,women,open,23:46:16,277,0,finished,UKR,Tetiana,Perevalova,UKR,Svitlana,Martynova,,,,,,
184,men,ultraveteran,23:53:17,276,0,finished,LAT,Rolands,Laveikis,LAT,Varis,Peisenieks,,,,,,
123,men,junior,23:53:49,276,0,finished,UKR,Andrii,Andrusiak,UKR,Volodymyr,Balovsiak,,,,,,
130,men,veteran,22:02:58,275,0,finished,EST,Marko,Külaots,EST,Gert,Müürsepp,,,,,,
340,mixed,veteran,23:31:12,274,0,finished,EST,Katrin,Parts,EST,Margus,Parts,,,,,,
101,men,open,23:41:49,274,0,finished,LTU,Modestas,Vidugiris,LTU,Paulius,Vidugiris,,,,,,
155,men,veteran,23:42:56,274,0,finished,LAT,Vilnis,Frišfelds,LAT,Ugis,Inka,,,,,,
182,men,superveteran,23:03:29,272,0,finished,EST,Ulo,Viru,EST,Urmas,Tammemäe,,,,,,
223,women,veteran,23:43:10,263,0,finished,EST,Ehtel,Taevere,EST,Riika,Ploompuu,,,,,,
235,women,veteran,23:52:08,263,0,finished,UKR,Olha,Sobchuk,UKR,Olena,Kapara,UKR,Yulia,Buhayets,,,
368,mixed,superveteran,23:44:42,259,0,finished,LAT,Ilmars,Dukulis,LAT,Inta,Porike,LAT,Ainars,Šilinš,,,
201,women,open,23:03:12,257,0,finished,LAT,Aiga,Tora,LAT,Liene,Bruvele,,,,,,
372,mixed,superveteran,23:46:11,257,0,finished,FIN,Jouni,Nurminen,FIN,Riikka,Kaipia,,,,,,
220,women,veteran,23:48:50,256,0,finished,LAT,Kremere,Ilze,LAT,Simsone,Ieva,,,,,,
358,mixed,veteran,23:30:15,255,0,finished,FIN,Anna-Leena,Talasterä,FIN,Mika,Issakainen,,,,,,
367,mixed,superveteran,23:29:37,254,0,finished,LAT,Gundega,Jurane,LAT,Juris,Švirksts,,,,,,
