id,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,score,time,penalty
71,,open,men,ESP,ADRIÀ,BOTIFOLL DOMINGO,ESP,CARLES,DOMINGO DILMER,,,,267,23:31:25,0
72,,open,mixed,UKR,KYRYL,ODNOKOZ,UKR,OLENA,BABYCH,,,,266,23:34:38,0
73,,veteran,mixed,UKR,ANDRII,LAUKERT,UKR,DARIA,TOMASH,UKR,OLEKSANDR,VOLKOV,266,23:44:25,0
74,,open,men,ESP,ALVARO,BENAVENTE PARA,ESP,JOSÉ LUIS,VALLE GALLEGO,ESP,ROBERTO,MARCOS,265,20:13:04,0
75,,veteran,men,ITA,FEDERICO,CALDINI,ITA,MARCO,CASTAGNERI,,,,262,23:46:32,0
76,,open,men,ESP,RAMON,CURTO,ESP,MARC,TRIQUELL CRISTÒFOL,,,,262,23:49:52,0
77,,superveteran,men,AUS,David,Rowlands,GBR,Jonathan,Sutcliffe,,,,261,23:58:03,0
78,,youth,mixed,EST,HELIS,PAJUSTE,EST,KAAREL,VESILIND,EST,KADRI,USTAV,260,23:41:00,0
79,,open,men,BLR,DMITRY,KRAPIVKO,BLR,PAVEL,KULESH,,,,257,22:28:39,0
80,,open,men,ROU,ADRIÀN,BER,ROU,ALEXANDRU CONSTANTIN,FAZAKAS,,,,257,23:36:07,0
81,,open,men,UKR,SERHII,SEREDIUK,UKR,BOHDAN,HRELIA,,,,257,23:53:36,0
82,,open,mixed,LAT,INDRA,MUIŽNIECE,LAT,MĀRTIŅŠ,KRŪMIŅŠ,LAT,AGRIS,AUCE,256,23:26:45,0
83,,superveteran,mixed,GBR,JACKIE,SCARF,GBR,PHIL,SCARF,,,,256,23:36:56,0
84,,superveteran,men,EST,ALEKSANDER,PRITSIK,EST,JAAK,ROHTSALU,,,,256,00:03:09,4
85,,veteran,mixed,AUS,DANE,ROBERTS,AUS,KIERAN,MACDONELL,AUS,CLARE,LONERGAN,254,22:46:23,0
86,,open,women,UKR,OLENA,DOTSENKO,UKR,OLHA,CHEBERAKHA,,,,254,23:00:19,0
87,,veteran,men,ESP,ANDRES MARIA,FERNANDEZ COLLADO,ESP,LUIS MANUEL,GÓMEZ GARCÍA,ESP,CARLOS,SANZ BALAGUER,254,23:41:06,0
88,,open,men,GBR,ROBBIE,PEAL,GBR,MARK,BURLEY,,,,253,22:52:37,0
89,,veteran,men,EST,RENE,KÄSIK,EST,ROLAND,TRUUS,,,,253,23:21:05,0
90,,youth,women,UKR,Maria,Goenko,UKR,Anastasia,Basyuk,,,,253,23:23:59,0
91,,veteran,men,ESP,JUAN,GARCIA MAYO,ESP,PEDRO ANGEL,MONTES MARTINEZ,ESP,JUAN CARLOS,PEREZ GONZALEZ,253,23:36:31,0
92,,open,men,ESP,PAU,BESTARD PUIG,ESP,BERNAT,BESTARD PUIG,,,,252,23:11:49,0
93,,veteran,men,EST,RAUL,KANGUR,EST,HENO,IVANOV,,,,252,23:46:10,0
94,,open,mixed,RUS,ANDREY,GORYACHKIN,RUS,DARIA,PETUKHOVA,RUS,OLEG,PETUKHOV,252,23:58:15,0
95,,superveteran,mixed,LAT,ALIDA,ABOLA,LAT,ROLANDS,LAVEIKIS,,,,250,23:44:44,0
96,,open,women,UKR,SVITLANA,MARTYNOVA,UKR,TETIANA,PEREVALOVA,,,,249,23:45:52,0
97,,youth,mixed,UKR,Dmytro,Kurochkin,UKR,Anna,Hudelaitis,UKR,Danylo,Pereverziev,249,23:56:34,0
98,,open,men,ESP,FRANCISCO JAVIER,VIGIL JIMÉNEZ,ESP,PABLO,GARCIA GAMARRA,,,,248,23:37:46,0
99,,open,men,FRA,BAPTISTE,VERDIN,FRA,PIERRE,SCHAMBERGER,,,,246,19:08:51,0
100,,superveteran,men,EST,EDUARD,PUKKONEN,EST,TÕNU,ILVES,,,,245,23:31:28,0
101,,veteran,mixed,AUS,ANDREW,SMITH,BUL,ANTONIA,BACHVAROVA,,,,243,23:41:38,0
102,,open,women,ESP,Laia,Gil,ESP,Neus,Gil,,,,243,23:50:24,0
103,,veteran,women,FIN,ANNE,POLSO,FIN,TANJA,RANNILA,,,,243,23:56:06,0
104,,open,men,ESP,EDER,CAÑAS BENITO,ESP,JOSEBA,IÑAKI CALZADA MENDIGUREN,,,,242,23:29:12,0
105,,veteran,mixed,NZL,ROB,HARROW,NZL,MARK,MINEHAN,NZL,JO,FORBES,242,23:31:32,0
106,,veteran,mixed,EST,IMBI,SOOME,EST,TOOMAS,LAUR,,,,242,23:39:24,0
107,,open,mixed,FRA,AUDREY,EHANNO,FRA,JEREMY,GRANIER,,,,241,23:37:14,0
108,,veteran,men,ESP,CARLES,MONTEIS CODINA,ESP,FRANCESC,VILA BLANCH,,,,241,23:39:12,0
109,,open,mixed,LAT,ZELMA,PRECINIECE,LAT,FADEJS,PRECINIEKS,,,,240,22:18:51,0
110,,superveteran,women,EST,MARJE,VIIRMANN,EST,AIRI,ALNEK,,,,240,23:34:40,0
111,,open,men,ROU,MIHAI,SANTA,ROU,SIMON,LEVENTE-ATTILA,ROU,CEZAR,CRICAN,240,23:46:45,0
112,,open,men,ESP,PAU,BOSCH DOMINGO,ESP,SERGI,COLL,,,,237,23:20:49,0
113,,youth,women,EST,EMILY,RAUDKEPP,EST,MARIE,TAMMEMÄE,,,,237,23:54:38,0
114,,youth,men,AUS,Isaac,Bell,AUS,Benjamin,Rada Martin,,,,237,23:54:48,0
115,,open,mixed,GBR,ANDREW,BROWN,AUS,NICOLE,MEALING,,,,236,22:44:52,0
116,,open,men,ESP,XABI,SENOSIAIN FERNANDEZ,ESP,IKER,ZURIARRAIN OREJA,ESP,EDUARDO,MORAGAS ZARAGÜETA,236,23:26:51,0
117,,superveteran,mixed,RUS,ALEXANDER,KROTKOV,RUS,OLGA,SOKOLOVA,,,,236,23:48:32,0
118,,veteran,men,CZE,MAREK,KŮSTKA,CZE,MARTIN,SADILEK,,,,235,23:56:12,0
119,,superveteran,men,NZL,MIKE,HARDING,NZL,PETER,CLEARY,,,,234,23:31:07,0
120,,superveteran,mixed,LAT,GUNDEGA,JURĀNE,LAT,JĀNIS,TURKS,LAT,VARIS,PEISENIEKS,234,23:33:05,0
121,,veteran,mixed,LAT,ILDZE,STRAUME,LAT,PĒTERIS,ĪVĀNS,,,,234,23:58:05,0
122,,youth,men,UKR,OLEKSANDR,ILIUK,UKR,ANDRII,SHEKHOVTSOV,,,,233,23:41:00,0
123,,ultraveteran,men,EST,TÕNU,NURM,EST,ARVO,KIVIKAS,EST,JOHANNES,TASA,232,23:26:58,0
124,,open,men,ESP,XAVIER,SAHUQUILLO FALCO,ESP,ROGER,MORAS COMELLAS,,,,231,23:17:17,0
125,,veteran,men,ESP,JORDI,CATEURA,ESP,TONI,MORERA,ESP,JORDI,MONTANER,231,23:35:56,0
126,,open,men,POR,JOSÉ,PEREIRA,POR,ALEXANDRE,CANTANHEDE,POR,NUNO,CRUZ,230,23:27:47,0
127,,open,men,ESP,JACINT,PARELLA JOUNOU,ESP,JORDI,PLARROMANI VILA,ESP,ROGER,DOT CODINA,229,23:32:29,0
128,,open,men,ESP,JOSEP,VENTURA VIA,ESP,KENNETH,COLELL SOLE,ESP,TONI,MAYANS CÓRCOLES,227,19:58:58,0
129,,veteran,women,AUS,THORLENE,EGERTON,AUS,TAMSIN,BARNES,,,,227,23:41:03,0
130,,veteran,mixed,LAT,JANIS,NAGELIS,LAT,BAIBA,OZOLA,,,,227,23:41:47,0
131,,superveteran,women,AUS,KAREN,PEDLEY,AUS,CHRISTINE,BROWN,,,,227,23:53:01,0
132,,veteran,mixed,JPN,SHIN,MURAKOSHI,JPN,RIKA,TAJIMA,,,,226,23:22:21,0
133,,superveteran,men,BEL,PETER,DEWULF,BEL,DIRK,GOOSSENS,,,,225,22:20:59,0
134,,open,mixed,LAT,DACE,LINDE,LAT,MIKELIS,ZUMBERGS,,,,225,23:39:52,0
135,,youth,men,UKR,Oleksandr,Hreshnov,UKR,Oleksandr,Kolchanov,,,,225,23:40:16,0
136,,superveteran,men,RUS,Sergey,Cherkesov,RUS,IGOR,KOMIN,,,,224,23:37:00,0
137,,open,men,ESP,JUAN CARLOS,CASTILLO GARCÍA,ESP,AGUSTÍN,BOTE VIERA,,,,223,23:37:57,0
138,,veteran,men,ESP,DARIO,ALVANO CASADEMUNT,ESP,ALONSO,SILVA GASPAR,,,,223,23:38:06,0
139,,superveteran,mixed,NZL,VIVIENNE,PRINCE,AUS,RICHARD,ROBINSON,,,,223,23:42:08,0
140,,superveteran,women,EST,PILVI-HELI,VETTIK,EST,KERSTI,EHALA,,,,222,23:24:51,0
141,,ultraveteran,men,AUS,DEREK,MORRIS,AUS,TED,VAN GELDERMALSEN,,,,222,23:31:58,0
142,,superveteran,mixed,CZE,MILADA,KLAPKOVÁ,CZE,MICHAL,KLAPKA,,,,220,23:29:38,0
143,,veteran,mixed,AND,EDUARD,BARCELÓ MENDOZA,ESP,MERITXELL,MARTELL LAMOLLA,,,,219,19:49:38,0
144,,open,men,ESP,JUAN MANUEL,RUIZ,FIN,OLLI,AALTIO,ESP,JAUME,CIVERA GORRIZ,219,23:59:31,0
145,,ultraveteran,men,CZE,ONDREJ,HERDEGEN,CZE,TOMAS,ZDRAHAL,,,,218,23:15:43,0
146,,open,mixed,CAN,JAMES,HEILMAN,JPN,WAKANA,HEILMAN,,,,218,23:17:08,0
147,,veteran,women,EST,MERIKE,METS,EST,EVELYN,HIMMA,,,,218,23:30:23,0
148,,youth,women,EST,Epp,Paalberg,EST,Kaisa,Rooba,,,,218,23:46:14,0
149,,veteran,men,EST,RAUL,SANKOVSKI,EST,IVAR,LAI,,,,218,00:05:09,6
150,,open,men,BLR,ALIAKSANDR,TSIAK,BLR,KOZICH,ANDREI,,,,218,00:12:40,13
151,,open,men,RUS,ANDREY,STEPANOV,RUS,ALEXEY,PERFILYEV,,,,217,23:34:03,0
152,,veteran,men,LAT,EDGARS,PEIČS,LAT,ARVĪDS,OZOLIŅŠ,,,,216,23:55:06,0
153,,veteran,men,ESP,OSKAR,GISASOLA BURGOS,ESP,JON,GALARRAGA ZAMORA,,,,215,22:43:54,0
154,,veteran,mixed,EST,HEIDI,SILD,EST,MAIROLT,KAKKO,EST,VEIKKO,TAMLAK,215,22:59:18,0
155,,veteran,men,ESP,OSCAR,BORREGO BERMEJO,ESP,TOMÁS,BOTE RIVADO,,,,215,23:02:25,0
156,,open,men,JPN,MAKOTO,SUZUKI,JPN,TAIKI,FUKUSHIMA,,,,215,23:31:20,0
157,,open,men,RUS,ALEXEY,AFANASYEV,RUS,IGOR,AFANASYEV,,,,214,23:41:08,0
158,,veteran,women,CAN,NICKI,REHN,AUS,LINDA,KILPATRICK,,,,214,23:54:14,0
159,,veteran,men,EST,REIGO,LEHTLA,RUS,ALEXANDER,TONIS,,,,213,19:03:55,0
160,,superveteran,mixed,LAT,MĀRIS,PENKULIS,LAT,SILVIJA,PENKULE,,,,213,23:23:33,0
161,,open,men,FRA,FABRICE,BROUILLET,FRA,STÉPHANE,GROLLEAU,FRA,EMMANUEL,BARRE,212,23:35:54,0
162,,superveteran,mixed,RUS,ANNA,BOIKO,RUS,Oleg,Zhegusov,,,,212,23:42:00,0
163,,veteran,mixed,ESP,SARA,PRAT ESCARRÉ,ESP,JORDI,VILAREDES SOLÉ,,,,212,23:47:47,0
164,,superveteran,mixed,LAT,ULDIS,PEKUSS,LAT,VELGA,BUSA,,,,211,23:37:24,0
165,,veteran,men,RUS,VADIM,ANISIMOV,RUS,BORIS,DIMITROV,,,,211,23:44:36,0
166,,veteran,men,ESP,JORDI,CAMPS,ESP,MARC,BUIXEDA,,,,209,23:53:47,0
167,,open,mixed,LAT,IVETA,EGLIJA,LAT,MĀRTIŅŠ,EGLIJS,,,,208,22:54:04,0
168,,youth,mixed,UKR,KRISTINA,BOBER,UKR,Andriy,Vasilina,,,,208,23:17:13,0
169,,superveteran,men,LAT,AIVARS,DRUVENIEKS,LAT,VIESTURS,ZIEDINS,LAT,ILMARS,KAULAKANS,208,23:25:18,0
170,,superveteran,men,CZE,JAN,MAREK,CZE,VLADIMÍR,MEZNÍK,,,,208,23:25:49,0
171,,open,mixed,ROU,DANIELA,ZAMFIR,ROU,EUGEN ANDREI,DUMITRESCU,,,,207,22:50:41,0
172,,veteran,men,FRA,STEPHANE,BERNIER,FRA,SEBASTIEN,SUIRE,,,,207,23:06:49,0
173,,open,men,ESP,JUAN ANTONIO,LUZAN DIEZ,ESP,AITOR,LANDAZABAL IMAZ,,,,206,23:29:28,0
174,,superveteran,mixed,UKR,VALENTYNA,BEVZO,UKR,VOLODYMYR,LIPKA,,,,206,23:40:50,0
175,,open,men,FRA,ARTHUR,BOURGADE,FRA,SYLVAIN,JOURDANA,,,,206,23:44:05,0
176,,superveteran,men,AUS,ROD,GRAY,AUS,GEOFF,LAWFORD,,,,205,19:04:16,0
177,,open,men,ESP,ORIOL,MAS SOLER,ESP,FERRAN,LLOMBART PUGA,,,,205,23:43:55,0
178,,open,men,ESP,MANUEL,LÓPEZ MEDINA,ESP,GASTÓN,MORA MADRID,,,,204,19:29:29,0
179,,veteran,men,USA,VLADIMIR,GUSIATNIKOV,USA,KEVIN,MATROSOUS,,,,204,23:35:24,0
180,,veteran,women,LAT,IVETA,ZĀĢERE,LAT,INESE,BĒRZIŅA,,,,204,23:36:05,0
181,,veteran,women,EST,RIIKA,PLOOMPUU,EST,EHTEL,TAEVERE,,,,201,22:36:50,0
182,,veteran,men,CZE,FILIP,CERNOCH,CZE,TOMAS,BELOHLAVEK,,,,201,23:42:09,0
183,,open,mixed,ESP,DANIEL,MAURI COSTA,ESP,VANESSA,ANDREU TORIBIO,,,,200,23:36:20,0
184,,open,mixed,ROU,PETRE,CORNEL SPIRIDON,ROU,MIHAI ALEXANDRU,BIOLAN,ROU,MIHAELA,MADALINA ILIUTA,200,23:42:45,0
185,,veteran,men,EST,ERKKI,PENU,EST,JOE,LEPP,,,,199,22:59:05,0
186,,veteran,men,ESP,JOSEP,TURON TRIOLA,ESP,ENRIC,TURON TRIOLA,,,,198,22:19:11,0
187,,open,mixed,ESP,JORGE,PÉREZ QUEROL,ESP,ANTONIO,TORRES FERRER,ESP,SILVIA,MARTOS MARTÍNEZ,198,00:09:41,10
188,,open,women,UKR,NATALIA,TYSHCHENKO,UKR,VIKTORIIA,TKACHUK,,,,196,23:23:54,0
189,,veteran,men,ESP,JOSEP,RIERA NOT,ESP,FRANCESC,FERRER PÉREZ,,,,196,23:49:42,0
190,,open,mixed,RUS,YURY,MALYSHKIN,RUS,ANASTASIA,MALYSHKINA,,,,195,22:53:06,0
191,,ultraveteran,mixed,CZE,MAGDA,HOROVA,CZE,VLADIMIR,HORA,,,,195,23:28:29,0
192,,veteran,mixed,FIN,PÄIVI,KÄRKKÄINEN,EST,EINAR,LUUP,,,,194,23:35:31,0
193,,open,men,ESP,OLEGUER,VALLBE ARIS,ESP,MARC,DALMASES DE LA CRUZ,ESP,OSCAR,CORNET PERARNAU,194,23:37:57,0
194,,open,mixed,ESP,JOSÉ ANTONIO,TARÍ ALONSO,ESP,ISAAC,BONASTRE PIAZUELO,ESP,MARÍA JESÚS,SÁNCHEZ GARCÍA,193,23:38:31,0
195,,veteran,mixed,ESP,MANUEL,TAMARGO FERNÁNDEZ,ESP,SILVIA,LÓPEZ SUÁREZ,ESP,CÉSAR,MENÉNENDEZ IGLESIAS,192,23:47:38,0
196,,youth,mixed,UKR,SAFRONOV,EUGENE,UKR,SYDORENKO,ARTEM,UKR,VIKTORIIA,LIKHTEI,191,23:02:32,0
197,,veteran,men,ESP,CRISTÓBAL,FERNÁNDEZ LIRIA,ESP,MANUEL,PARRADO,ESP,PABLO,FERNÁNDEZ LIRIA,191,23:38:45,0
198,,veteran,mixed,USA,GINNY,LAFORME,USA,ERIC,ROBINSON,,,,190,23:31:46,0
199,,open,men,ESP,ENRIC,VILARIÓ CARRIÓ,ESP,ROGER,PUIG TOMAS,,,,190,23:44:09,0
200,,open,women,RUS,MARIA,CHISTYAKOVA,RUS,ANNA,NIKIFOROVA,,,,190,23:45:24,0
201,,youth,women,UKR,ALIONA,NIGDA,UKR,Olha,Ilkova,,,,190,23:47:58,0
202,,superveteran,mixed,NZL,MARK,STRUTHERS,NZL,ANNETTE,WINDROSS,,,,189,23:36:44,0
203,,veteran,men,GER,MARC,CORTADA LAESKE,ESP,EDGAR,AGUILERA VILADOMIU,,,,187,23:23:59,0
204,,open,men,RUS,MAKSIM,BLAGOV,RUS,MAXIM,SUKHOV,,,,187,23:43:20,0
205,,veteran,men,ESP,PEDRO,SALGADO ASTILLERO,ESP,LUIS ALBERTO,GUTIERREZ ALMARZA,,,,186,18:28:50,0
206,,open,women,ESP,PILAR,SEBASTIÁN CASTELLANOS,ESP,NATALIA,ISABA ARAMENDÍA,ESP,CRISTINA,RICO ARECHAEDERRA,186,21:16:57,0
207,,open,mixed,AUS,VETTI,FAWCETT,AUS,ALEX,MORGAN,,,,186,22:08:06,0
208,,ultraveteran,men,USA,PHIL,BRICKER,USA,Kenneth,Walker,,,,185,23:36:43,0
209,,open,women,ESP,LAURA,BAUS SAMARANCH,ESP,CLÀUDIA,BAUS SAMARANCH,,,,185,23:55:05,0
210,,veteran,men,ESP,RUBÉN,TEJERINA HERNANZ,ESP,JUAN,COMBARRO GALLEGO,,,,184,13:44:06,0
211,,superveteran,women,EST,REET,JOHANSON,EST,SAIMA,VÄRTON,,,,184,23:24:58,0
212,,veteran,mixed,JPN,MAMI,INOUE,JPN,MASANOBU,KOSAKA,,,,184,23:34:51,0
213,,open,women,NZL,LARA,DIXON,NZL,CHRIS,DIXON,,,,183,23:41:54,0
214,,superveteran,men,NZL,COLIN,DIXON,NZL,DOUGLAS,WOODS,,,,182,21:55:11,0
215,,open,mixed,ESP,AGNES,VILANOVA BOSCH,ESP,GERARD,COLL CULEBRAS,ESP,QUIM,MASEGUR,182,23:36:44,0
216,,open,women,USA,JULIE,CASSATA,USA,VICTORIA,CAMPBELL,USA,JENNIFER,LAUGHLIN,182,23:52:00,0
217,,ultraveteran,men,AUS,Mervyn,Trease,AUS,Victor,Sedunary,,,,181,19:42:02,0
218,,ultraveteran,men,USA,JOHN,HARBUCK,CAN,BRUCE,RENNIE,,,,180,23:02:10,0
219,,veteran,men,FIN,EERO,MOILANEN,FIN,HANNU,LEMPINEN,,,,179,23:28:25,0
220,,open,mixed,POL,DARIUSZ,WALCZYNA,POL,BARBARA,SZMYT,,,,179,23:39:33,0
221,,open,mixed,FRA,CLÉMENCE,PINEY,FRA,OLIVIER,CHARBONNIER,,,,178,22:36:14,0
222,,ultraveteran,men,SUI,RES,REY,SUI,DIETER,WOLF,,,,178,23:21:51,0
223,,superveteran,mixed,AUS,EVELYN,COLWELL,AUS,CRAIG,COLWELL,,,,178,23:33:19,0
224,,veteran,mixed,RUS,ANNA,MOISEEVA,RUS,PAVEL,SHMIDT,,,,178,23:50:40,0
225,,superveteran,men,AUS,GRAHAM,FIELD,AUS,NEIL,HAWTHORNE,,,,178,23:51:34,0
226,,open,men,GBR,RICHARD,PERKINS,AUT,RUDI,GRUBER,,,,177,23:36:56,0
227,,open,men,ESP,MIGUEL ANGEL,PIÑEIRO MALVIDO,ESP,ANTONIO,DOMINGUEZ PORTAS,ESP,ALEJANDRO,MARÍN GÓMEZ-NIEVES,175,18:01:55,0
228,,veteran,mixed,FIN,EMMI,JOKIOINEN,FIN,ESA,JOKIOINEN,,,,175,23:40:55,0
229,,superveteran,men,USA,RON,BIRKS,USA,MIKE,WILKE,,,,174,23:27:12,0
230,,open,men,RUS,SERGEY,SOLOMENNOV,RUS,EVGENII,AKENTEV,,,,173,22:45:48,0
231,,youth,men,UKR,OREST,MALOVANYUK,UKR,OLEKSANDR,ZHELIZNIAK,,,,172,23:23:21,0
232,,open,women,ESP,SARA,CASTILLO LAJAS,ESP,ESTHER,PIZARRO CORRAL,,,,172,23:25:55,0
233,,ultraveteran,men,UKR,YURII,BUTAKOV,UKR,HEORHII,BORDIIAN,,,,171,22:42:12,0
234,,open,men,ESP,HÉCTOR,NEBOT MOLMENEU,ESP,DAVID,CAVERO MONTANER,,,,171,23:26:57,0
235,,open,men,MEX,LUIS LEONARDO JUAN,ZAMORA LEAL,MEX,SERGIO,FERNANDEZ LOZADA,,,,171,23:28:55,0
236,,open,men,ESP,JOSE ANGEL,MORLÁN RODRIGUEZ,ESP,ALBERTO,CANDAL VIQUEIRA,ESP,JUAN CARLOS,RODRIGUEZ QUEIJAS,170,22:13:33,0
237,,open,women,ESP,MÍRIAM,CARRETERO MIGUEL,ESP,INMA,OVEJERO DUEÑAS,,,,170,23:42:56,0
