id,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,score,time,penalty
289,,superveteran,mixed,JPN,YAYOI,TOYOSAWA,JPN,YOSHIYA,TOYOSAWA,,,,143,23:33:03,0
290,,open,men,ESP,JUAN,FABREGAT MANUEL,ESP,PEDRO,PALLARES CATALAN,,,,142,22:57:58,0
291,,veteran,women,JPN,KYOKO,MATSUMOTO,JPN,MIKI,MITSUSE,,,,141,22:29:59,0
292,,open,mixed,ESP,ANNA,SANTAMARIA OLIVA,ESP,ROGER,CHIMISANAS ROMAN,,,,141,23:40:12,0
293,,superveteran,mixed,CZE,MONIKA,KREJČÍKOVÁ,CZE,ZBYNĚK,KREJČÍK,,,,140,22:58:15,0
294,,veteran,men,ESP,JOSE MARIA,GARCIA GONZALEZ,ESP,FERRAN,BROCEÑO MOZOS,,,,140,23:04:41,0
295,,ultraveteran,mixed,LAT,JANIS,EGLITIS,LAT,GUNTA,LEBEDOKA,,,,140,23:10:15,0
296,,youth,men,NED,SEVER,LATYSOV,NED,MAXIM,LATYSOV,,,,140,23:23:47,0
297,,ultraveteran,mixed,AUS,WALTER,KELEMEN,AUS,SUE,CLARKE,,,,139,23:24:35,0
298,,veteran,men,GBR,SHAHID,MOHAMMAD,NED,AHMED,MOHAMMAD,,,,138,21:14:38,0
299,,open,mixed,RUS,DINA,SHUR,UKR,MYKOLA,BAZAROV,,,,138,22:33:55,0
300,,open,mixed,UKR,VOLODYMYR,SHUNIAKOV,UKR,NATALIIA,TARABANOVSKA,,,,138,23:22:31,0
301,,open,mixed,ESP,LEONOR,POUS CHIARRI,ESP,VICENTE NICOLAU,GALLEGO,ESP,ABERTO,GARCIA CALADO,138,23:56:24,0
302,,superveteran,mixed,NZL,LIZ,MILLOW,NZL,WAYNE,MILLOW,,,,137,23:56:18,0
303,,veteran,mixed,AUS,ANNIKA,DANIELSSON,AUS,OLIVIER,FAHY,,,,136,23:23:46,0
304,,open,men,POR,MIGUEL,SILVA,POR,TIAGO,ROMÃO,,,,135,20:13:17,0
305,,veteran,mixed,USA,DIANA,SEREBRYANIK,USA,DMITRY,LAVROV,RUS,YURY,VORONOV,135,23:36:59,0
306,,superveteran,mixed,USA,GAVIN,WYATT-MAIR,USA,SUE,KUESTNER,,,,135,23:46:05,0
307,,open,men,ESP,AITOR,RODRÍGUEZ MARTIN,ESP,JOSE RAMON,FERNANDEZ PORTERO,,,,134,22:12:00,0
308,,veteran,men,ESP,JULIO,LIZARANZU FERNANDEZ,ESP,JESUS,BALDO GARCIA,,,,134,22:12:01,0
309,,ultraveteran,mixed,AUS,COLIN,MOCK,AUS,COLLEEN,MOCK,,,,133,22:57:38,0
310,,ultraveteran,mixed,UKR,TETIANA,DRYTOVA,UKR,YURIY,SHUR,,,,132,22:54:17,0
311,,open,mixed,JPN,NAOKO,KAWASHIMA,JPN,KO,MASUDA,,,,132,23:26:25,0
312,,open,women,ESP,CRISTINA,TUDELA ROMERO,ESP,MARIA JOSÉ,ESPARZA MUÑOZ,ESP,CAROLINA,SEGURA LÓPEZ,132,23:30:32,0
313,,veteran,men,LAT,AINĀRS,CĪRULIS,LAT,MĀRIS,AVOTIŅŠ,,,,131,22:16:44,0
314,,open,mixed,ESP,MAGÍ,LLAVERIA GRAU,ESP,LAURA,ESCOLA FERRAN,,,,131,23:41:26,0
315,,open,mixed,LAT,AGITA,MARENA,LAT,ANDRIS,SALDŪKSNIS,,,,130,11:43:46,0
316,,ultraveteran,men,RUS,Evgeniy,Emelianov,RUS,Alexander,Lisenenkov,,,,130,23:27:51,0
317,,veteran,women,CZE,BARBORA,SEIDLOVA,CZE,MIROSLAVA,LINDOVA,,,,130,23:31:30,0
318,,veteran,men,RUS,ALEKSANDR,ZAVIALOV,RUS,SERGEY,YASHCHENKO,,,,129,14:35:01,0
319,,veteran,mixed,JPN,JUMPEI,SUZUKI,JPN,AYA,SATO,,,,129,23:12:42,0
320,,superveteran,men,FRA,BRUNO,PEAN,FRA,PHILIPPE,GIRAUD,,,,128,20:41:21,0
321,,veteran,men,ESP,DANI,DAVÍ RECASENS,ESP,ALBERT,DAVÍ RECASENS,,,,128,21:08:46,0
322,,open,mixed,LAT,GUNDEGA,BRUNENIECE,LAT,INTS,BRUNENIEKS,,,,128,23:17:25,0
323,,veteran,mixed,ESP,MAIDA,SERRALLONGA GASCH,ESP,JORDI,VIRGILI ARUMI,,,,128,23:28:20,0
324,,ultraveteran,men,AUS,DON,BAKER,AUS,RON,FREDERICK,,,,127,23:37:54,0
325,,youth,mixed,CZE,DOMINIK,VÁCHAL,CZE,ALŽBĚTA,VEVERKOVÁ,,,,126,23:42:36,0
326,,open,mixed,RUS,KSENIIA,TIKHONOVA,RUS,ARTEM,TIKHONOV,,,,126,23:47:27,0
327,,open,men,FRA,MANUEL,GENESTOUX,FRA,SEBASTIEN,CAZELLE,,,,123,21:30:20,0
328,,superveteran,men,RUS,VITALY,LYUBIN,RUS,VADIM,KARAGANOV,,,,123,22:46:37,0
