id,time,score,penalty,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname,member5country,member5firstname,member5lastname
138,19:19:00,1580,0,open,mixed,AUS,Philip,Van Gent,AUS,Amelie,Bischof,,,,,,,,,
17,15:59:00,1550,0,open,men,AUS,Roland,Trease,AUS,Joseph,Hughes,,,,,,,,,
83,23:43:00,1530,0,youth,men,AUS,Nicholas,Eberl,AUS,Jack,Donovan,,,,,,,,,
5,23:30:00,1500,0,ultraveteran,men,AUS,John,Anderson,AUS,Ted,Woodley,,,,,,,,,
65,20:01:00,1470,0,open,mixed,AUS,Kelly,Young,AUS,Ken,Young,AUS,Caitlin,Young,,,,,,
130,23:17:00,1460,0,superveteran,mixed,AUS,Robin,Cameron,AUS,Alexander,Cameron,,,,,,,,,
87,23:42:00,1450,0,veteran,men,AUS,Julian,Ledger,AUS,Chris,Stevenson,,,,,,,,,
153,23:59:00,1450,0,open,women,AUS,Jessie,Hutchison,AUS,Anna,Hutchison,,,,,,,,,
26,23:15:00,1440,0,superveteran,women,AUS,Nihal,Danis,AUS,Sue,Clarke,,,,,,,,,
10,23:43:00,1430,0,open,mixed,AUS,Su Li,Sin,AUS,Brent,Roylance,,,,,,,,,
142,21:30:00,1420,0,open,men,AUS,Jeremy,Gibson,AUS,David,Barlow,,,,,,,,,
121,20:41:00,1410,0,open,men,AUS,Graham,Knight,AUS,Tony,Rogers,,,,,,,,,
140,23:09:00,1410,0,superveteran,mixed,AUS,Mike,Harrap,AUS,Marg,Harrap,,,,,,,,,
67,23:20:00,1400,0,ultraveteran,mixed,AUS,Colleen,Mock,AUS,Colin,Mock,,,,,,,,,
122,21:30:00,1390,0,youth,men,AUS,Ewan,Barnett,AUS,Kristian,Fiebig,,,,,,,,,
144,23:17:00,1380,0,open,men,AUS,Greg,Jolley,AUS,Tim,Cox,,,,,,,,,
127,17:39:00,1290,0,open,men,AUS,Myall,Quint,AUS,Angus,Crowe,,,,,,,,,
35,23:20:00,1290,0,youth,men,AUS,Ian,Ellis,AUS,Charlie,Henshall,,,,,,,,,
18,23:42:00,1280,0,youth,women,AUS,Jiaying,Goh,AUS,An Ran,Chen,,,,,,,,,
102,22:01:00,1270,0,open,men,AUS,Jackson,Jolly,AUS,Alec,Thomas,,,,,,,,,
6,23:00:00,1230,0,superveteran,mixed,AUS,Mary,Adams,AUS,Neil,Montgomery,,,,,,,,,
113,23:31:00,1220,0,veteran,mixed,AUS,Kris,Nash,AUS,Laurie,Nash,,,,,,,,,
108,23:27:00,1210,0,youth,mixed,AUS,Kate,Thomas,AUS,Oliver,Lilford,,,,,,,,,
128,23:11:00,1190,0,open,mixed,AUS,Gabriel,Nelson,AUS,Sharon,Nelson,,,,,,,,,
148,23:27:00,1190,0,veteran,women,AUS,Shoko,Okada,AUS,Sue,Brown,,,,,,,,,
97,8:32:00,1180,0,veteran,men,AUS,Stuart,Kurtz,AUS,Paul,Griffiths,,,,,,,,,
2,20:09:00,1130,0,veteran,mixed,AUS,Linda j.,Thompson,AUS,Johannes,Wevers,,,,,,,,,
143,23:24:00,1130,0,open,women,AUS,Mica,Hartley,AUS,Jacqui,Poldy,AUS,Fay,Khaw,,,,,,
7,18:56:00,1110,0,superveteran,men,AUS,Brett,Davis,AUS,Bill,Stahlhut,,,,,,,,,
55,23:35:00,1110,0,superveteran,men,AUS,Mark,Hurry,AUS,Ron,Hutchings,,,,,,,,,
84,23:15:00,1050,0,superveteran,men,AUS,Douglas,Gillott,AUS,Ash,Pagett,,,,,,,,,
137,23:23:00,1030,0,open,mixed,AUS,Chontelle,Dailey,AUS,Ben,Large,,,,,,,,,
74,11:54:00,1020,0,open,men,AUS,Steven,Hanley,AUS,Alex,Ramsey,,,,,,,,,
150,19:34:00,1020,0,open,men,AUS,Brent,Bowen,AUS,Mitchell,Bowen,,,,,,,,,
39,21:14:00,1020,0,youth,mixed,AUS,Ciara,Smart,AUS,Nic,Pittman,,,,,,,,,
42,23:13:00,1020,0,veteran,mixed,AUS,James,Collier,AUS,Carley,Finn,,,,,,,,,
41,23:21:00,1020,0,superveteran,women,AUS,Leanne,Aust,AUS,Jenny,Horsfield,AUS,Monica,Binder,,,,,,
129,23:27:00,1020,0,open,women,AUS,Jennifer,Green,AUS,Stephanie,Lum,,,,,,,,,
9,23:57:00,1010,0,open,men,AUS,Dylan,Smedley,AUS,Arun,Murali,,,,,,,,,
78,20:43:00,1000,0,superveteran,mixed,AUS,Greg,Davies,AUS,Lynne,Davies,,,,,,,,,
81,23:21:00,980,0,veteran,mixed,AUS,Phil,Dunne,AUS,Leone,Jansen,,,,,,,,,
25,23:57:00,950,0,veteran,mixed,AUS,Jane,Pulford,AUS,Duncan,McIntyre,,,,,,,,,
59,22:58:00,940,0,ultraveteran,mixed,AUS,Joy,Corbett,AUS,Colin,Corbett,,,,,,,,,
44,21:58:00,930,0,ultraveteran,mixed,AUS,Peter,Milnes,AUS,Susanne,Milnes,,,,,,,,,
34,23:23:00,930,0,ultraveteran,women,AUS,Kathy,Saw,AUS,Pat,Miethke,AUS,Parissa,Poulis,,,,,,
70,23:39:00,910,0,superveteran,mixed,AUS,Michael,Schafer,AUS,Janelle,Schafer,,,,,,,,,
90,23:24:00,900,0,open,mixed,AUS,Marcin,Kozik,AUS,Mira,Kozik,AUS,Hannes,Isensee,,,,,,
49,21:47:00,880,0,open,women,AUS,Gail,Sutton,AUS,Alex,McAndrew,,,,,,,,,
123,23:55:00,830,0,open,mixed,AUS,Peter,Miller,AUS,Alison,Inglis,AUS,Natalie,Miller,,,,,,
