id,age,gender,time,penalty,score,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
61,open,mixed,23:52:19,0,171,,RUS,Наталья,Морилова,RUS,Андрей,Морилов,,,,,,
62,veteran,mixed,23:35:57,0,168,,RUS,Геннадий,Селюминов,RUS,Светлана,Гладкова,,,,,,
63,open,women,22:54:29,0,162,,RUS,Мария,Вихрева,RUS,Анна,Хозова,,,,,,
64,superveteran,women,23:32:13,0,162,,RUS,Маргарита,Туринцева,RUS,Ольга,Корчагина,,,,,,
65,veteran,mixed,23:34:31,0,161,,RUS,Андрей,Белоногов,RUS,Ольга,Фролова,,,,,,
66,veteran,women,22:41:02,0,159,,RUS,Елена,Белых,RUS,Александра,Смазнева,,,,,,
67,open,women,23:35:43,0,158,,RUS,Анна,Волкова,RUS,Елена,Мялицина,,,,,,
68,youth,men,23:56:17,0,127,,RUS,Евгений,Рассошанский,RUS,Павел,Абрамов,RUS,Семен,Вдовыкин,,,
69,open,men,23:56:47,0,119,,RUS,Сергей,Васильев,RUS,Михаил,Васильев,,,,,,
70,ultraveteran,mixed,23:19:43,0,114,,RUS,Валерий,Стеценко,RUS,Лидия,Стеценко,,,,,,
71,youth,mixed,23:20:18,0,113,,RUS,Дарья,Мирасова,RUS,Александр,Бушин,,,,,,
72,ultraveteran,women,23:56:34,0,110,,RUS,Ольга,Лавринович,RUS,Наталья,Помазан,,,,,,
73,superveteran,women,22:25:21,0,100,,RUS,Ольга,Маховик,RUS,Екатерина,Канюкова,,,,,,
74,open,men,23:03:09,0,88,,RUS,Дмитрий,Хакимов,RUS,Валерий,Назаров,,,,,,
75,open,women,23:14:39,0,80,,RUS,Алина,Мурзагильдинова,RUS,Эльмира,Набиева,,,,,,
76,youth,mixed,19:05:14,0,41,,RUS,Анна,Соловьева,RUS,Анастасия,Мартынова,RUS,Алексей,Гилёв,RUS,Екатерина,Букирева
77,ultraveteran,mixed,22:47:54,0,36,,RUS,Сергей,Ноздрюхин,RUS,Валентина,Харитонова,,,,,,
