name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname,member5country,member5lastname,member5firstname
,open,men,0,23:20:50,,1950,12,AUS,van Den Berg,Nick,AUS,Gandy,Michael,,,,,,,,,
,superveteran,mixed,0,22:57:36,,1910,104,AUS,Harrap,Margaret,AUS,Harrap,Michael,,,,,,,,,
,open,men,0,21:40:09,,1900,119,AUS,Barlow,David,AUS,Guldbrandsen,Chris,,,,,,,,,
,veteran,mixed,0,22:25:27,,1870,36,NZL,Wilson,Janet,NZL,Peters,Graham,NZL,Cottam,Yvette,,,,,,
,superveteran,mixed,0,22:30:29,,1860,10,AUS,Perrott,Tony,AUS,Wood,Liz,,,,,,,,,
,veteran,men,0,18:19:22,,1840,21,AUS,Barnes,Richard,AUS,Cole,David,,,,,,,,,
,veteran,mixed,0,23:32:12,,1840,11,AUS,Dunbar,Michael,AUS,Berger,Sue,,,,,,,,,
,open,men,0,18:30:42,,1830,93,AUS,Bailie,James,AUS,Banks,Thomas,,,,,,,,,
,superveteran,men,0,22:58:45,,1820,89,AUS,Hurry,Mark,AUS,Hutchings,Ron,,,,,,,,,
,veteran,women,0,23:29:53,,1820,94,AUS,Powell,Jo,AUS,Wishart,Karen,,,,,,,,,
,ultraveteran,men,0,23:45:59,,1820,14,AUS,Tucker,Robert,AUS,Milnes,Peter,,,,,,,,,
,superveteran,mixed,0,23:26:15,,1790,145,AUS,Horton,Steve,AUS,Horton,Paula,,,,,,,,,
,superveteran,women,0,23:04:16,,1780,15,AUS,Danis,Nihal,AUS,Clarke,Sue,,,,,,,,,
,superveteran,mixed,0,23:47:28,,1780,8,AUS,Cameron,Ian,AUS,Kurrle,Susan,,,,,,,,,
,veteran,women,0,23:59:03,,1780,42,AUS,Shilton,Cathy,AUS,Purich,Plaxy,,,,,,,,,
,open,women,0,23:17:19,,1750,22,AUS,Martin,Brook,AUS,Kopriva,Danielle,,,,,,,,,
,open,women,0,21:45:41,,1740,70,AUS,Lowth,Suwati,AUS,Perry,Christine,,,,,,,,,
,open,men,0,23:29:09,,1730,25,AUS,Shields,Matt,AUS,Howell,Mark,,,,,,,,,
,youth,mixed,0,23:16:36,,1720,71,AUS,Pittman,Nic,AUS,Smart,Ciara,,,,,,,,,
,open,men,0,21:26:56,,1680,84,AUS,Renwick,Andrew,AUS,Weight,Jeremy,,,,,,,,,
,ultraveteran,men,0,23:23:10,,1650,52,AUS,Anderson,John,AUS,Woodley,Ted,,,,,,,,,
,veteran,men,0,19:25:34,,1640,35,AUS,Bridgart,Glenn,AUS,Jones,David,AUS,Aylott,Michael,,,,,,
,open,men,0,23:27:50,,1630,50,AUS,Havranek,John,AUS,Havranek,Sam,,,,,,,,,
,youth,mixed,0,23:44:16,,1630,140,AUS,Vallette,Brad,AUS,Johnson,Hannah,,,,,,,,,
,open,men,0,18:23:39,,1620,100,AUS,FRANCOIS,Pierre,AUS,BARKER,Ross,,,,,,,,,
,superveteran,men,0,23:42:44,,1620,16,AUS,Sage,Richard,AUS,Keleman,Walter,AUS,Pitot,Dom,,,,,,
,open,mixed,0,23:47:00,,1620,96,AUS,Sin,Su Li,AUS,Roylance,Brent,,,,,,,,,
,superveteran,men,0,23:56:53,,1620,138,AUS,Giddings,Phil,AUS,Mason,Rob,,,,,,,,,
,veteran,men,0,23:22:38,,1610,77,AUS,Barnes,Geoff,AUS,Mann,Phil,,,,,,,,,
,open,women,0,23:30:33,,1600,134,AUS,Hutchison,Anna,AUS,Hutchison,Jessie,,,,,,,,,
,open,men,0,23:36:24,,1600,168,AUS,Koehler,David,AUS,Hilliard,Josh,AUS,Leeds,James,,,,,,
,veteran,mixed,0,23:19:41,,1590,177,AUS,Goggs,Stephen,AUS,Tysson,Alex,,,,,,,,,
,veteran,men,0,23:54:21,,1570,20,AUS,Avery,Ron,AUS,Pinnock,Rick,,,,,,,,,
,open,women,0,23:22:34,,1560,130,AUS,Young,Kelly,AUS,Young,Caitlin,,,,,,,,,
,veteran,women,0,23:36:15,,1550,125,AUS,Johnstone,Genevieve,AUS,McLean,Prue,,,,,,,,,
,superveteran,mixed,0,23:43:31,,1530,102,AUS,Cook,Marg,AUS,Cook,Rob,,,,,,,,,
,superveteran,mixed,0,23:17:05,,1520,26,AUS,Mock,Colin,AUS,Mock,Colleen,,,,,,,,,
,open,mixed,0,23:42:16,,1520,107,AUS,Charlton,Robyn,AUS,Charlton,Peter,,,,,,,,,
,open,men,0,22:45:37,,1490,65,AUS,Erasmus,Dean,AUS,Mudie,John,,,,,,,,,
,ultraveteran,mixed,0,23:31:58,,1490,32,NZL,Kennedy,Anne,NZL,Kennedy,Bill,NZL,Squires,Peter,,,,,,
,open,mixed,0,23:35:43,,1460,55,AUS,van Gent,Philip,AUS,Bischof,Amelie,AUS,Loots,Corien,,,,,,
,open,mixed,0,23:34:57,,1450,6,AUS,Corner,Kate,AUS,Carter,Jeremy,,,,,,,,,
,veteran,mixed,0,22:25:44,,1430,40,AUS,Thompson,Linda,AUS,Wevers,John,,,,,,,,,
,veteran,men,0,12:26:31,,1400,113,AUS,Wilson,Brett,AUS,Gray,Rod,,,,,,,,,
,open,men,0,22:20:34,,1390,117,AUS,Coady,Lee,AUS,Smith,Dan,,,,,,,,,
,superveteran,men,0,18:51:19,,1370,129,AUS,Almond,Ian,AUS,Doyle,Rod,,,,,,,,,
,open,men,0,23:32:27,,1360,47,AUS,Francis,Ben,AUS,McElveney,Joel,,,,,,,,,
,open,men,0,20:51:39,,1350,146,AUS,Lefmann,Martin,AUS,Thomas,Peter,,,,,,,,,
,superveteran,women,0,23:37:28,,1340,60,AUS,Proctor,Shirley,AUS,Forsyth,Anne,,,,,,,,,
,veteran,women,0,21:08:27,,1260,23,AUS,Davis,Linda,AUS,Johnson,Lia,,,,,,,,,
,open,men,0,22:24:50,,1260,176,AUS,Taylor,Damien,AUS,Harris,David,,,,,,,,,
,veteran,men,0,23:10:10,,1250,73,AUS,Hayes,Fergus,AUS,Hunt,Dave,,,,,,,,,
,superveteran,mixed,0,23:07:00,,1170,59,NZL,Rogers,Val,NZL,English,Richard,,,,,,,,,
