id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
1,men,open,23:21:51,2920,0,,EST,Mikko,Eklund,FIN,Mikael,Lamberg,FIN,Jussi,Ernamo,,,
2,men,open,23:43:55,2740,0,,FIN,Marko,Vapa,FIN,Mikko,Vapa,,,,,,
3,men,superveteran,23:16:29,2470,0,,EST,Sulev,Kuiv,EST,Peep,Eomois,,,,,,
4,men,veteran,23:35:04,2200,0,,FIN,Hannu,Lempinen,FIN,Edvin,Hepokangas,,,,,,
5,men,open,23:09:27,2140,0,,FIN,Jani,Ekqvist,FIN,Oskari,Summanen,,,,,,
6,men,veteran,19:22:27,1640,0,,FIN,Jouni,Oikarinen,FIN,Marko,Aaltonen,,,,,,
7,men,superveteran,23:06:53,1520,0,,FIN,Kari,Härkönen,FIN,Tarmo,Lehtilä,,,,,,
8,men,open,17:43:05,1340,0,,EST,Matti,Rantalainen,EST,Teemu,Karvonen,EST,Mikko,Pulsa,FIN,Jouni,Hovilainen
9,men,open,0:00:00,0,0,not started,FIN,Eetu,Pekkanen,FIN,Jussi,Korhonen,,,,,,
10,men,veteran,0:00:00,0,0,not started,FIN,Mikael,Mononen,FIN,Mika,Vuokila,FIN,Jarno,Karjalainen,,,
11,women,open,23:14:17,2570,0,,FIN,Anne,Kiljunen,FIN,Emmi,Lehikoinen,,,,,,
12,women,veteran,22:28:57,2340,0,,FIN,Reetta,Heiskanen,FIN,Maija,Lång,,,,,,
13,women,veteran,22:54:15,2060,0,,FIN,Tarja,Törmikoski,FIN,Virva,Vuorenpää,,,,,,
14,women,veteran,23:06:34,1810,0,,FIN,Kaija,Korhonen,FIN,Eeva,Romppainen,,,,,,
15,women,open,23:27:02,1730,0,,FIN,Hanna,Kiiski,FIN,Tiina,Järvinen,,,,,,
16,women,veteran,20:11:12,1580,0,,FIN,Teija,Liponkoski,FIN,Johanna,Piesala,,,,,,
17,women,open,21:21:14,1340,0,,FIN,Hanna,Bister,FIN,Marika,Damskägg,,,,,,
18,women,open,18:45:27,1210,0,,FIN,Sari,Hautala,FIN,Satu,Juurakko,,,,,,
19,women,superveteran,19:48:53,920,0,,FIN,Tuija,Rantalainen,FIN,Arja,Rantalainen,,,,,,
20,women,superveteran,11:05:08,290,0,,FIN,Tuire,Laine,FIN,Maarit,Laine,,,,,,
21,mixed,veteran,21:02:39,2290,0,,FIN,Leena,Ojala,FIN,Jani,Isoluoma,,,,,,
22,mixed,open,22:24:54,2220,0,,FIN,Ilkka,Lassila,FIN,Anni,Toppila,,,,,,
23,mixed,superveteran,17:58:06,2020,0,,FIN,Helena,Haapomaa,FIN,Eki,Haapomaa,,,,,,
24,mixed,veteran,23:18:27,1810,0,,FIN,Tapani,Mikkola,FIN,Heli,Mikkola,FIN,Mårten,Lampén,,,
25,mixed,veteran,20:48:39,1740,0,,FIN,Jari,Jokela,FIN,Marja,Jokela,,,,,,
26,mixed,youth,21:50:21,1580,0,,FIN,Lauri,Hollo,FIN,Joonatan,Seppänen,FIN,Jerry,Aunula,FIN,Petrina,Miettinen
27,mixed,superveteran,20:18:05,1470,0,,FIN,Pekka,Toppari,FIN,Maija,Käkelä,,,,,,
28,mixed,veteran,20:26:51,1400,0,,EST,Juta,Ainelo,EST,Jaan,Ainelo,EST,Virve,Einpaul,,,
29,mixed,open,0:00:00,0,0,withdrawn,FIN,Sari,Kotaniemi,FIN,Juha,Kotaniemi,,,,,,
