name;age;gender;penalty;time;status;score;id;member1country;member1lastname;member1firstname;member2country;member2lastname;member2firstname;member3country;member3lastname;member3firstname
BIZ BIZ;open;women;0;23:57:25;;185;404;LAT;Bērziņa;Inese;LAT;Bērziņa;Zanda
DARK SIDE TEAM;veteran;men;0;22:36:27;;179;609;LAT;Bormanis;Dainis;LAT;Brencis;Gatis
Ejam kopā;veteran;mixed;0;23:00:07;;168;804;LAT;Strujevics;Ģirts;LAT;Lancmane;Anita
Jēkaba Aģentūra;veteran;men;0;23:33:19;;161;1201;LAT;Alksnis;Uldis;LAT;Zīds;Oskars
Grundzāle;junior;men;0;19:11:23;;157;2;LAT;Zālītis;Kristaps;LAT;Slikšjānis;Matīss;LAT;Caune;Ilgvars
Kapteinis Bremze;open;mixed;0;23:56:45;;157;506;LAT;Neimiševa;Elizabete;LAT;Bodiļevs;Aleksandrs
VEF Rīga;open;mixed;0;23:27:29;;153;517;LAT;Pūcītis;Artis;LAT;Pūcīte;Inga
Bebres;superveteran;women;0;23:44:41;;152;1003;LAT;Purgaile;Inese;LAT;Vabole;Ilze
STK;open;men;0;20:00:50;;143;303;LAT;Priedītis;Jānis;LAT;Kampuss;Uģis
Nemo;open;women;0;21:50:09;;142;402;LAT;Štēbele;Laine;LAT;Štēbele;Kristiāna
NKA;open;mixed;0;18:39:57;;140;510;LAT;Bandenovičs;Madars;LAT;Amoliņa;Zanda
MEKLĒTĀJAS;superveteran;women;0;22:45:17;;131;1001;LAT;Vlodare;Sarmīte;LAT;Saulīte;Dace
ID komanda;veteran;women;0;19:41:47;;123;703;LAT;Ikšele;Dace;LAT;Zariņa;Ilze
Pa maliņu, pa maliņu!;veteran;mixed;0;14:36:49;;122;803;LAT;Leja;Sanita;LAT;Leja;Andris
4D;veteran;mixed;0;22:41:09;;121;805;LAT;Grīnberga;Astrīda;LAT;Zeile;Evita;LAT;Rjabuha;Sergejs
Nepareizais virziens;open;men;0;16:50:19;;104;311;LAT;Johansons;Nils;LAT;Seļms;Vladimirs
:);open;women;0;11:20:06;not finished;80;401;LAT;Uzuleņa;Ieva;LAT;Indrāne;Laura
Madona/Lejasciems;open;women;0;16:00:15;not finished;122;502;LAT;Āboliņa;Gerda;LAT;Krēsliņa;Linda;LAT;Švika;Jānis
JAKS-2014;superveteran;men;0;13:27:52;not finished;105;906;LAT;Kučinskis;Arnolds;LAT;Skrūzmanis;Jānis
Isostar Ņergas;open;mixed;0;12:29:36;not finished;156;518;LAT;Zumberga;Marta;LAT;Puriņš;Mārtiņš
Ilze Čakle;open;women;0;23:49:48;out of competition;-323;102;LAT;Čakle;Ilze
Bebraine;open;women;-4;24:03:41;out of competition;-150;512;LAT;Miglava;Rūta
