id,age,gender,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
58,veteran,men,217,20:21:45,0,,LAT,Zintis,Brasavs-Muižnieks,LAT,Salvis,Brasavs,,,
59,open,men,216,23:28:51,0,,LAT,Arnis,Veidemanis,LAT,Kārlis,Jurševics,,,
60,superveteran,women,212,23:44:51,0,,LAT,Gundega,Jurāne,LAT,Skaidrīte,Otaņķe,,,
61,youth,mixed,208,22:22:38,0,,LAT,Elīna,Krēmere,LAT,Jēkabs,Janovs,,,
62,superveteran,women,200,21:35:42,0,,LAT,Dace,Saulīte,LAT,Sarmite,Vlodare,,,
63,veteran,men,200,21:35:51,0,,LAT,Edgars,Rumba,LAT,Edgars,Puķītis,LAT,Armands,Doķis
64,open,mixed,197,22:59:50,0,,LAT,Agnese,Katlapa,LAT,Uldis,Katlaps,,,
65,open,mixed,193,23:34:46,0,,LAT,Toms,Upenieks,LAT,Aija,Lorence,,,
66,open,mixed,190,18:19:08,0,,LAT,Aigars,Putnis,LAT,Dārta,Putne,,,
67,open,women,183,23:16:15,0,,LAT,Gunta,Blūzma,LAT,Laura,Mazmača,LAT,Evija,Birzniece
68,veteran,mixed,182,21:20:12,0,,LAT,Zane,Blumberga,LAT,Ģirts,Strujevičs,,,
69,veteran,women,182,23:57:33,0,,LAT,Kristīna,Ēce,LAT,Zita,Grante,,,
70,ultraveteran,women,181,23:02:45,0,,LAT,Māra,Bolšteina,LAT,Velta,Zjatkova,,,
71,open,mixed,180,16:37:23,0,,LAT,Elīna,Masteiko,LAT,Jānis,Krastiņš,,,
72,veteran,men,180,23:03:01,0,,LAT,Māris,Avotiņš,LAT,Ainārs,Cīrulis,,,
73,youth,men,179,20:32:45,0,,LAT,Rūdis,Lapiņš,LAT,Krišjānis,Ivbulis,LAT,Ivo,Siliņš
74,ultraveteran,women,178,23:28:30,0,,EST,Virve,Orav,EST,Eha,Arb,,,
75,veteran,men,174,12:06:37,0,,EST,Heno,Ivanov,EST,Raul,Kangur,,,
76,youth,women,172,22:40:56,0,,LAT,Ieva,Ivbule,LAT,Laura Nikola,Pinne,LAT,Kitija,Elksne
77,ultraveteran,women,152,22:39:08,0,,LAT,Gunta,Lebedoka,LAT,Silvija,Segliņa,,,
78,veteran,men,151,15:34:46,0,,LAT,Artis,Dobulis,LAT,Uldis,Kirtovskis,,,
79,open,mixed,138,14:18:56,0,,LAT,Elizabete,Neimiševa,LAT,Aleksandrs,Bodiļevs,,,
80,veteran,mixed,136,13:47:23,0,,LAT,Ainārs,Gailis,LAT,Baiba,Grišule,,,
81,veteran,mixed,132,10:35:24,0,,LAT,Didzis,Čonka,LAT,Aija,Čonka,,,
82,open,mixed,131,23:39:19,0,,LAT,Jānis,Paiders,LAT,Elīna,Plūme,,,
83,veteran,mixed,126,19:17:26,0,,LAT,Guntars,Vība,LAT,Inese,Rudzīte,,,
84,veteran,mixed,93,10:29:04,0,,AUS,Jon,Williamson,AUS,Jude,Mulhuijsen,,,
85,open,mixed,69,7:37:51,0,,LAT,Māra,Brūne,LAT,Dāvids,Alksnis,,,
86,veteran,men,49,5:09:36,0,,LAT,Andis,Goldbergs,LAT,Madis,Lapiņš,,,
87,veteran,mixed,259,24:46:21,0,overtime,LAT,Inta,Poriķe,LAT,Ilmārs,Dukulis,,,
88,superveteran,men,134,8:26:28,0,withdrawn,EST,Mati,Preitof,EST,Aleksander,Pritsik,,,
89,veteran,mixed,82,8:44:39,0,withdrawn,EST,Ago,Lauri,EST,Marje,Venelaine,EST,Mati,Ruul
90,open,men,0,0:00:00,0,not started,LAT,Ingus,Pētersons,LAT,Sergejs,Ahmaduļins,,,
91,open,women,0,0:00:00,0,not started,LAT,Dace,Traniņa,LAT,Sandra,Seimane,,,
92,open,mixed,0,0:00:00,0,not started,LAT,Andris,Rozenbergs,LAT,Aiga,Rozenberga,,,
