id,age,gender,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
1,open,men,360,23:01:55,0,,EST ,Märt,Roosaare,EST,Siim,Klais,,,
2,veteran,mixed,324,23:39:21,0,,LAT ,Valters,Kaminskis,LAT ,Edijs,Šadauskis,LAT,Anita,Liepina
3,open,men,318,22:43:30,0,,LAT ,Didzis,Rozenbergs,LAT,Sandis,Petersons,,,
4,veteran,men,317,23:50:38,0,,LAT ,Ingus,Portnajs,LAT,Einars,Masteiko,,,
5,veteran,men,316,23:44:06,0,,LAT ,Harijs,Meiers,LAT,Ainars,Grinvalds,,,
6,open,mixed,315,23:38:48,0,,LAT ,Zelma,Preciniece,LAT,Fadejs,Precinieks,,,
7,open,mixed,309,23:35:57,0,,LAT ,Ieva,Upmace-Grivina,LAT,Peteris,Grivinš,,,
8,veteran,men,307,23:50:27,0,,LAT ,Renars,Skudra,LAT,Viesturs,Šlosbergs,,,
9,open,men,305,23:51:06,0,,LAT ,Edgars,Šadris,LAT,Kristaps,Tamužs,,,
10,open,men,304,22:46:59,0,,LAT ,Armands,Broks,LAT,Reinis,Berzinš,,,
11,veteran,women,303,22:34:57,0,,LAT ,Aiva,Jakovela,LAT,Ildze,Straume,,,
12,open,men,302,23:53:11,0,,LAT ,Kaspars,Adijans,LAT,Valdis,Cunka,,,
13,veteran,mixed,299,23:47:50,0,,LAT ,Janis,Nagelis,LAT,Baiba,Ozola,,,
14,open,men,293,23:38:19,0,,LAT ,Mikelis,Zumbergs,LAT,Guntis,Šmaukstelis,,,
15,veteran,men,292,22:32:22,0,,EST ,Raul,Kangur,EST,Heno,Ivanov,,,
16,superveteran,mixed,288,23:46:37,0,,LAT ,Velga,Buša,LAT,Uldis,Pekuss,,,
17,open,mixed,285,22:42:02,0,,LAT ,Ilze,Cahrausa,LAT,Andis,Reškis,,,
18,open,mixed,283,23:21:37,0,,LAT ,Aleksandrs,Riguns,LAT,Janis,Kalninš,LAT,Madara,Apsalone
19,veteran,men,275,23:35:09,0,,LAT ,Ivars,Purvinš,LAT,Armands,Teteris,,,
20,superveteran,men,273,23:25:54,0,,LAT ,Varis,Peisenieks,LAT,Janis,Turks,,,
21,veteran,men,271,22:56:53,0,,LAT ,Atis,Kalejs,LAT,Maris,Vabulnieks,,,
22,superveteran,men,268,23:37:10,0,,LAT ,Harijs,Lacars,LAT,Aivars,Druvenieks,LAT,Ilmars,Kaulakans
23,superveteran,mixed,265,23:34:17,0,,LAT ,Alida,Abola,LAT,Imants,Caklis,,,
24,veteran,women,262,23:14:48,0,,LAT ,Ieva,Simsone,LAT,Ilze,Kremere,,,
