id;name;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
413;Nastolan Ter�;women;superveteran;Rantalainen;Tuija;FIN;Rantalainen;Arja;FIN;;;;;;;;;;23:18:06;1110;0;1110;
134;LES DROLES;men;open;BROUILLET;Fabrice;FRA;S�bastien;SUIRE;FRA;;;;;;;;;;23:46:58;1100;0;1100;
314;Pixapins;men;veteran;Franquesa Perich;Bernat;ESP;Su?er Molero;C�sar;ESP;;;;;;;;;;23:27:11;1080;0;1080;
502;KAPA VR;mixed;ultraveteran;Kukk;Volli;LAT;Kukka;Ruta;LAT;;;;;;;;;;22:27:58;1070;0;1070;
143;ORCA;men;open;Garcia Crespo;Jacinto;ESP;Mediavilla Ruiz;Jose Maria;ESP;;;;;;;;;;23:35:25;1060;0;1060;
156;TITURGAS IESP?JU PARKS;men;open;Putnis;Aigars;LAT;RUDZ?TIS;Sandis;LAT;;;;;;;;;;16:38:00;1040;0;1040;
174;AKILES TALDEA;mixed;open;CUETO SANTAMAR�A;OSCAR;ESP;ITURBE ALONSO;OLATZ;ESP;;;;;;;;;;22:34:49;1030;0;1030;
315;Raidermania Abs;men;veteran;CLIMENT CARPIO;JOSE FRANCISCO;ESP;PEREZ GARCIA;JULIAN;ESP;;;;;;;;;;23:06:16;1030;0;1030;
152;SALMERON & PLACAR;men;open;cardona pozuelo;ivan;ESP;Dual Ib�?ez;Francisco;ESP;FABREGAT MANUEL;JUAN;ESP;Ruiz;Juan Manuel;ESP;Porcar Monforte;Miguel Angel;ESP;23:28:26;1030;0;1030;
199;Savam priekam;mixed;open;Kornenkova;Liga;LAT;Pelss;Janis;LAT;;;;;;;;;;13:25:39;1020;0;1020;
341;HAGL�FS;mixed;veteran;COLELL SOLE;KENNETH;ESP;MARTELL LAMOLLA;MERITXELL;ESP;;;;;;;;;;22:04:57;1020;0;1020;
145;OS Active Sport;men;open;de la Pascua Arag�n;Pablo;ESP;Mart�nez L�pez;Antonio;ESP;;;;;;;;;;23:11:29;1020;0;1020;
144;Orientijotes/Elerut;men;open;Almagro Fernandez;Pedro;ESP;Culebras Taravilla;Adri�n;ESP;Pernia Izquierdo;Ramiro;ESP;TARAVILLA CANALES;JOSE JAVIER;ESP;;;;23:25:39;1020;0;1020;
414;Alchevsk Wanderers;mixed;superveteran;Drytova;Tetiana;UKR;Shur;Yuriy;UKR;Kisakov;Dmytro;UKR;;;;;;;23:12:52;1000;0;1000;
136;Lost in Aralar Extrem;men;open;banciella alvaro;pablo;ESP;banciella alvaro;Miguel;ESP;gonzalez alonso;nicolas;ESP;;;;;;;23:14:24;990;0;990;
139;Mala Petja;men;open;Bosch Domingo;Pau;ESP;Mayans Bay�;Ferran;ESP;;;;;;;;;;23:50:40;990;0;990;
