id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
260,ELEVATION,170,17:00:58,0,,open,men,LAT,Mārtiņš,Galvanovskis,LAT,Anrijs,Tērauds,LAT,Atis,Caune
261,Mēs ar putniem,170,23:21:47,0,,open,women,LAT,Laura,Mazmača,LAT,Gunta,Blūzma,,,
262,Visad Vanurid,170,23:36:19,0,,ultraveteran,women,EST,Eha,Arb,EST,Virve,Orav,,,
263,Sk MAGNEN,170,23:50:35,0,,open,men,LAT,Edgars,Kļaviņš,LAT,Guntis,Rasims,,,
264,LOSIny53-2,168,23:30:32,0,,open,women,RUS,Anna,Orlova,RUS,Nadezhda,Eremenko,RUS,Elena,Khramova
265,Kawe,167,20:59:12,0,,veteran,men,EST,Ago,Lauri,EST,Andres,Lohmus,,,
266,Keep Moving,167,23:38:17,0,,open,mixed,RUS,Olga,Kostromitinova,RUS,Anton,Monakhov,,,
267,Puujalad,166,13:23:57,0,,open,men,EST,Mehis,Muru,EST,Martin,Vilismäe,,,
268,Balta Cielava,166,23:01:58,0,,open,mixed,RUS,Maksim,Blagov,RUS,Anastasiia,Zubalii,,,
269,No pusvārda,166,23:46:03,0,,open,mixed,LAT,Anda,Saliņa,LAT,Raivis,Grīviņš,,,
270,Amatciems,166,24:07:42,8,,superveteran,mixed,LAT,Viesturs,Ziedins,LAT,Inara,Gipsle,,,
271,Biezpienmaize2,165,21:11:14,0,,open,men,LAT,Raitis,Bērziņš,LAT,Jānis,Sedlenieks,,,
272,TITURGAS IESPĒJU PARKS,164,19:12:11,0,,veteran,men,LAT,Sandis,Rudzītis,LAT,Aigars,Putnis,LAT,Juris,Mitčenko
273,Dinner Out,163,13:00:28,0,,open,men,LAT,Martins,Malzubris,LAT,Peteris,Tamuzs,,,
274,CARPE DIEM!,163,18:31:44,0,,veteran,mixed,EST,Reigo,Lehtla,EST,Annika,Vaher,,,
275,Velmara,162,23:26:53,0,,ultraveteran,women,LAT,Māra,Bolšteina,LAT,Velta,Zjatkova,,,
276,Havi käsul,161,22:56:22,0,,superveteran,men,EST,Paul,Aug,EST,Tiit,Olju,,,
277,Saue,160,21:35:20,0,,ultraveteran,mixed,EST,Toivo,Saue,EST,Anu,Saue,,,
278,RSK Jõhvikas,159,22:04:45,0,,open,men,EST,Allan,Roosimägi,EST,Karmo,Kübarsepp,,,
279,Proceeding On,159,23:32:09,0,,ultraveteran,women,USA,Sharon,Crawford,AUS,Robin,Spriggs,,,
280,CERĪBA BEZ STRESA,159,23:36:31,0,,veteran,women,LAT,Zane,Blumberga,LAT,Santa,Blūma,,,
281,HalFastAsleep,159,24:00:16,1,,superveteran,mixed,USA,Sue,Kuestner,USA,Gavin,Wyatt-Mair,,,
282,Stihacky,157,22:50:07,0,,open,women,CZE,Miroslava,Lindova,CZE,Barbora,Seidlova,,,
283,Vējagrābšļi,156,23:26:01,0,,veteran,mixed,LAT,Sanda,Rapa,LAT,Jānis,Rapa,,,
284,Natural Magic,155,16:53:21,0,,open,mixed,EST,Kertu,Savitsch,EST,Heiki,Savitsch,,,
285,Hämmelung,155,18:34:01,0,,open,men,EST,Taavi,Dovnar,EST,Margus,Lehtme,,,
286,Harhailujaos,154,23:48:02,0,,open,men,FIN,Ari-Tapio,Toivonen,FIN,Antti,Terävä,,,
287,TAKA X,154,23:59:43,0,,veteran,mixed,LAT,Jānis,Pētersons,LAT,Inese,Midrijāne,,,
288,No limits,153,15:32:58,0,,youth,mixed,EST,Kaisa,Rooba,EST,Herman,Rull,,,
289,ME,153,23:24:21,0,,open,mixed,LAT,Mara,Berzina,LAT,Edgars,Sturcs,,,
290,PAR TREŠO,153,23:40:52,0,,superveteran,women,LAT,Baiba,Puriņa,LAT,Brigita,Tamuža,,,
291,Maura pēdējā nopūta,153,23:56:24,0,,veteran,mixed,LAT,Valerijs,Sturis,LAT,Inese,Sture,,,
292,VAI VAI,152,23:04:10,0,,veteran,men,LAT,Viesturs,Otomers,LAT,Andis,Goldbergs,,,
293,TE!,151,22:17:51,0,,open,mixed,LAT,Toms,Biders,LAT,Elza,Žumbure,,,
294,Paulīnes,151,23:13:07,0,,veteran,mixed,LAT,Mudīte,Šteina,LAT,Skaidrīte,Otaņķe,LAT,Māris,Penkulis
