id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
426,Sēņu vērotāji,9,22:15:19,0,not finished,open,men,LAT,Valdis,Gabrāns,LAT,Mārtiņš,Ketners,,,
427,Högfors Venture,0,0,0,not started,open,mixed,FIN,Erno,Paju,FIN,Antti,Patjas,FIN,Laura,Jortama
428,Phast Generation,0,0,0,not started,ultraveteran,men,USA,Ken,Walker,USA,Glen,Brake,,,
429,JuJu,0,0,0,not started,ultraveteran,mixed,LAT,Julija,Zvirgzde,LAT,Juris,Zvirgzds,,,
430,3 Sivēntiņi,0,0,0,not started,youth,mixed,LAT,Leonards,Kaspars,LAT,Marta Simona,Štile,LAT,Jānis,Serovs
431,Nomadic beavers,0,0,0,not started,open,mixed,LAT,Agnis,Graudulis,LAT,Alise,Varika,,,
432,entrebalizas,0,0,0,not started,open,mixed,ESP,Caro,Llop Calvo,ESP,Pablo,Alonso Regidor,,,
433,ROGBAND,0,0,0,not started,open,mixed,LAT,Karīna,Krūmiņliepa,LAT,Gints,Eglītis,,,
434,Jabberwock,0,0,0,not started,open,mixed,RSA,Jacobus,van Zyl,RSA,Janneke,Leask,,,
435,Ukrainian brothers,0,0,0,not started,youth,men,UKR,Yaroslav,Koshovyy,UKR,Heorhii,Romanov,,,
436,Ru-ral Nz,0,0,0,not started,open,men,NZL,Benjamin,Lott,NZL,Alan,Friedman,,,
437,Health group,0,0,0,not started,superveteran,men,RUS,Vladimir,Tokhtuev,RUS,Mikhail,Tabakov,,,
438,Pētersoni,0,0,0,not started,open,mixed,LAT,Kaspars,Pētersons,LAT,Laura,Pētersone,,,
439,Pirmie soļi,0,0,0,not started,open,mixed,LAT,Ilva,Kārkliņa,LAT,Ralfs,Jumiķis,,,
440,sbbl,0,0,0,not started,superveteran,men,RUS,Sergey,Berlin,RUS,Boris,Levin,,,
441,Cyanosis,0,0,0,not started,open,men,RSA,Nicholas,Mulder,RSA,Ryno,Griesel,,,
442,fasad,0,0,0,not started,open,men,RUS,Vasilii,Potatosov,RUS,Yuri,Fedorov,,,
443,Rasti Elmo,0,0,0,not started,open,men,FIN,Risto,Kärkkäinen,FIN,Matti,Turtola,,,
444,Teļubauska,0,0,0,not started,veteran,mixed,LAT,Didzis,Čonka,LAT,Aija,Čonka,,,
445,Karamba!,0,0,0,not started,open,women,RUS,Yulia,Savushkina,TJK,Olga,Plyatsok,,,
446,JFF,0,0,0,not started,veteran,mixed,EST,Tiina,Kangilaski,EST,Jaan,Metsa,,,
447,Triathlon-NN,0,0,0,not started,open,men,RUS,Anton,Tvorogov,RUS,Gleb,Khryashchev,,,
448,Team Karsu,0,0,0,not started,veteran,men,FIN,Niko,Toimela,FIN,Olli-Pekka,Holttinen,,,
449,Aloha,0,0,0,not started,veteran,men,RUS,Maksim,Shcheglov,RUS,Sergej,Martynov,,,
450,Veloforma.net,0,0,0,not started,open,mixed,RUS,Roman,Popov,RUS,Olga,Ivleva,RUS,Igor,Denschik
451,BABARUNCA TEAM,0,0,0,not started,veteran,men,ROU,Mihai,Costea-Ariesanu,ROU,Iuliu,Dopovetz,,,
452,RaceTeam40+,0,0,0,not started,veteran,men,DEN,Michael,Filyo,DEN,Lars,Mikkelsen,,,
453,Glāžšķūņu rūķīši,0,0,0,not started,open,men,LAT,Andris,Sprūds,LAT,Edgars,Vanters,,,
454,BUBERTS,0,0,0,not started,open,mixed,LAT,Inese,Anckalniņa,LAT,Kaspars,Anckalniņš,,,
455,Cucumber,0,0,0,not started,open,mixed,RUS,Kirill,Kiselev,RUS,Ekaterina,Kovalenko,,,
456,Žosmė,0,0,0,not started,veteran,men,LTU,Albertas,Lakštauskas,LTU,Rolandas,Jakštas,,,
457,808,0,0,0,not started,open,men,EST,Martin,Veisman,EST,Madis,Ehastu,,,
458,Õuesõpe Mehed,0,0,0,not started,veteran,men,EST,Margus,Varik,EST,Marek,Tammemäe,,,
459,Silvan Trams,0,0,0,not started,open,mixed,BLR,Aliaksei,Tomashau,BLR,Katsyarina,Bazhankova,,,
460,The Snoopies,0,0,0,not started,open,mixed,RUS,Artem,Nemenchinsky,RUS,Inga,Melnik,,,
