name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
"Баязет, Москва САО",open,mixed,0,21:42:45,,118,53,RUS,Воронин,Григорий,RUS,Глебова,Екатерина,,,,,,
Санкт-Петербург,ultraveteran,women,0,23:41:20,,108,77,RUS,Лисененкова,Елена,RUS,Молоткова,Зоя,,,,,,
"ФСТ Новороссийск, Новороссийск",veteran,mixed,0,22:13:36,,107,75,RUS,Гладкова,Светлана,RUS,Селюминов,Геннадий,,,,,,
"СК АЗЪ, Рязань",youth,mixed,0,23:49:00,,100,72,RUS,Зарвигоров,Семен,RUS,Соина,Полина,,,,,,
"Идем напролом, Воткинск",ultraveteran,women,0,23:51:07,,95,2,RUS,Лавринович,Ольга,RUS,Родина,Татьяна,,,,,,
"StarNN, Нижний Новгород",veteran,mixed,0,20:12:19,,88,50,RUS,Старостин,Александр,RUS,Старостина,Ирина,,,,,,
"Ангара, Симферополь",open,mixed,0,14:07:00,,82,52,RUS,Шешуков,Александр,RUS,Павлова,Анна,,,,,,
"Жареные кактусы, Димитровград",youth,men,0,21:44:46,,65,30,RUS,Абрамов,Павел,RUS,Вдовыкин,Семен,,,,,,
"ДДТ 'Астрофизика', Димитровград",open,mixed,0,21:48:49,,58,20,RUS,Васильев,Сергей,RUS,Хитова,Мария,,,,,,
"Алекс, Александровск",ultraveteran,mixed,0,22:53:57,,27,51,RUS,Ноздрюкин,Сергей,RUS,Харитонова,Валентина,,,,,,
