rank,id,score,time,penalty,status,age,gender,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
73,25,1860,15:49:45,0,,youth,men,LAT,Berzins,Maris,LAT,Noviks-Grassi,Aivars,,,,,,
74,137,1860,23:02:44,0,,open,women,UKR,Tyshchenko,Natalia,UKR,Tomash,Dasha,,,,,,
75,156,1850,23:22:22,0,,youth,women,EST,Pajuste,Helis,EST,Leht,Elina-Emiilie,,,,,,
76,38,1830,23:59:58,0,,veteran,women,FIN,Niinimäki,Hanna,FIN,Rauhala,Sirpa,,,,,,
77,23,1830,24:02:00,20,,veteran,men,EST,Kuiv,Sulev,EST,Eomois,Peep,,,,,,
78,72,1810,19:37:20,0,,open,men,CZE,Kustka,Marek,CZE,Sadilek,Martin,CZE,Merka,Roman,,,
79,28,1810,23:44:31,0,,open,mixed,ESP,Belaskoain,Amalur,ESP,Ramon Muntaner,Pau,ESP,Belascoain,Ricard,,,
81,17,1790,22:59:16,0,,open,mixed,CZE,Švihla,Tomáš,CZE,Přivozníková,Pavla,,,,,,
82,123,1790,23:33:11,0,,veteran,mixed,EST,Väärsi,Jaak,EST,Väärsi,Helle,,,,,,
83,103,1780,23:45:03,0,,veteran,mixed,ESP,Coll Vionesa,Llorenç,ESP,Santamaria Villalonga,Toninaina,,,,,,
84,114,1760,23:34:27,0,,veteran,men,RUS,Anisimov,Vadim,RUS,Dimitrov,Boris,,,,,,
85,67,1720,22:59:25,0,,youth,women,UKR,Tkachuk,Viktoria,UKR,Hudelaitis,Anna,,,,,,
86,74,1700,21:47:26,0,,veteran,men,LAT,Avotins,Maris,LAT,Cirulis,Ainars,,,,,,
87,140,1700,22:36:00,0,,open,women,EST,Marrandi,Nele,EST,Soone,Imbi,,,,,,
88,51,1700,23:36:53,0,,open,men,RUS,Shmidt,Pavel,RUS,Nikonov,Mikhail,,,,,,
89,370,1660,21:06:04,0,,veteran,men,LAT,Germanis,Gints,LAT,Dresmanis,Andris,,,,,,
90,157,1640,23:38:37,0,,veteran,mixed,USA,Rzewski,Alexis,USA,Huber,Olga,,,,,,
91,69,1620,20:38:21,0,,veteran,mixed,LAT,Midrijane,Inese,LAT,Petersons,Janis,,,,,,
92,10,1620,22:34:52,0,,veteran,mixed,LAT,Kukk,Volli,LAT,Kuka,Ruta,,,,,,
93,44,1610,23:33:09,0,,veteran,women,LAT,Simsone,Ieva,LAT,Kremere,Ilze,,,,,,
94,107,1600,22:28:02,0,,veteran,mixed,ESP,Cruells Ros,Jordi,ESP,Torrejon Lazaro,Maite,ESP,Gines Puertas,Jordi,,,
95,113,1600,22:29:30,0,,veteran,men,CZE,Štancl,Jiří,CZE,Procházka,Pavel,,,,,,
96,92,1590,23:04:21,0,,open,mixed,ITA,Tinti,Francesco,ITA,Cordone,Valentina,,,,,,
97,132,1590,23:18:26,0,,open,mixed,LAT,Dzirkale,Zane,LAT,Klavins,Juris,,,,,,
98,99,1580,18:26:34,0,,open,men,LAT,Stasans,Janis,LAT,Rozembergs,Didzis,,,,,,
99,171,1560,23:55:45,0,,veteran,mixed,RUS,Vompe,Alexander,RUS,Zavialova,Yulia,,,,,,
100,46,1550,21:12:25,0,,veteran,men,EST,Lauri,Ago,EST,Lõhmus,Andres,,,,,,
101,163,1550,23:24:18,0,,veteran,mixed,ITA,Montanari,Francesco,ITA,Boilini,Ermanna,,,,,,
102,108,1540,23:31:24,0,,open,men,RUS,Blagov,Maksim,RUS,Sovetov,Alexander,,,,,,
103,63,1530,23:15:49,0,,open,women,FIN,Rauhamäki,Anne,FIN,Rautanen,Marja,,,,,,
104,97,1520,22:28:07,0,,open,mixed,CZE,Zamazalová,Kateřina,CZE,Zajíc,Vítězslav,,,,,,
105,37,1520,23:41:48,0,,veteran,mixed,CZE,Hájek,Jiří,CZE,Lisá,Monika,,,,,,
106,121,1520,23:49:28,0,,open,mixed,GBR,Heliot,Claire,GBR,Fallesen,Todd,,,,,,
