id,age,gender,teamname,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
401,open,mixed,Bukovyna-Bacara,180,23:37:13,0,,UKR,Olexandr,Kolchanov,UKR,Nadiya,Vakaryk,,,
3001,open,men,SareptaEnergy,179,22:20:45,0,,RUS,Anastasiya,Solomennova,UKR,Evgeniy,Kulepov,,,
622,open,mixed,Karpaty,177,23:08:41,0,,UKR,Volodymyr,Fedotenkov,UKR,Andriy,Hudz,,,
1101,superveteran,men,Визит,177,23:14:39,0,,UKR,Наталія,Тарабановська,UKR,Володимир,Шуняков,,,
1015,veteran,mixed,ORIENT,176,23:52:45,0,,UKR,Oleksandr,Kilnitskyi,UKR,Kateryna,Kilnitska,UKR,Roman,Zazherylo
1805,open,men,KAMP 4 x 4,173,23:01:45,0,,LAT,Maris,Penkulis,LAT,Andris,Kosmachevs,,,
1608,open,men,4L,172,22:43:06,0,,EST,Lea,Leppik,EST,Lauri,Leppik,,,
606,ultraveteran,men,NoExcuses,172,20:18:26,0,,BLR,Herman,Yulau,BLR,Aliaksei,Hrabliuk,,,
604,superveteran,men,Dutch National Rogaining,170,22:44:41,0,,NED,Maxim,Latysov,NED,Sergej,Latysov,NED,Sever,Latysov
2402,open,mixed,Bukovyna-MUV,169,21:59:40,0,,UKR,Georgii,Bordiyan,UKR,Tanasii,Makoviichuk,,,
1803,youth,women,Festina Lente,168,23:31:29,0,,EST,Sulev,Kuiv,EST,Peep,Eomois,,,
1017,veteran,mixed,Maximum,166,23:32:39,0,,UKR,Andrii,Biltse,UKR,Yulia,Yanchuk,,,
207,veteran,mixed,Danger team,166,23:52:34,0,,UKR,Alina,Myroniuk,UKR,Darya,Zapisochna,,,
1606,open,men,Romanichi,165,23:30:35,0,,LAT,Ilva,Koskina,LAT,Romans,Koskins,,,
1604,superveteran,men,Sääsehirm,164,23:05:00,0,,EST,Tarvo,Joeste,EST,Merle,Lilleoru,,,
625,superveteran,mixed,O-Club,161,14:15:38,0,,UKR,Ievgenii,Tsyren,UKR,Artem,Gorodynets,,,
1807,youth,men,On-Sight Polska,158,23:41:26,0,,POL,Gabriel,Bujakiewicz,POL,Zbigniew,Hornik,,,
2206,open,men,Kalliany-Kalliany,158,23:57:27,0,,AUT,Rainer,Kalliany,AUT,Susanne,Kalliany,,,
8,youth,men,Dnipro - MY,157,23:36:27,0,,UKR,Kyrylo,Babych,UKR,Andrii,Riabov,,,
619,veteran,mixed,VM Team,156,23:04:45,0,,ROU,Florin,Zbarcea,ROU,Daniel,Gîrboan,,,
2,veteran,mixed,Kalush,154,23:24:53,0,,UKR,Ihor,Velanyk,UKR,Denys,Voitanyk,UKR,Pavlo,Bezrukiy
1607,veteran,mixed,Taka X,153,23:36:00,0,,LAT,Inese,Midrijāne,LAT,Jānis,Pētersons,,,
3000,open,women,Цитадель,152,22:09:18,0,,UKR,Василь,Гуцуляк,UKR,Ігор,Масіян,UKR,Ігор,Подлєсний
1613,youth,mixed,ALIGOTS CATALUNYA,146,20:50:37,0,,ESP,Raquel,Font,ESP,Marc,Amat,,,
1151,veteran,mixed,Alchevsk Iron,140,23:43:06,0,,UKR,Микола,Базаров,UKR,Дина,Шур,,,
1605,veteran,men,AUTOSTARTS.LV,142,23:31:09,0,,LAT,Aivars,Lapa,LAT,Marita,Lapa,,,
805,superveteran,mixed,Astrovjuny,135,22:08:02,0,,UKR,Kseniia,Varavina,UKR,Tetiyana,Rusovych,,,
409,superveteran,men,НАВЕЕТ,130,21:40:36,0,,BLR,Dzmitry,Palonski,BLR,Yauheni,Vasilchanka,BLR,Tatsiana,Yafremava
1616,ultraveteran,mixed,Transylvanian Vampires,125,23:09:30,0,,ROU,Iuliu,Dopovecz,ROU,Maria,Ruxandra,,,
1212,superveteran,mixed,Suunta 2000,120,13:59:16,0,,FIN,Mikko,Vapa,FIN,Marko,Vapa,,,
2200,superveteran,mixed,Alchevsk Wanderers,120,23:02:39,0,,UKR,Yuriy,Shur,UKR,Tetiana,Drytova,,,
1808,veteran,women,Lions.lv,118,23:23:57,0,,LAT,Evalds,Zogla,LAT,Andis,Plakans,,,
2801,ultraveteran,women,Dnepr,115,22:11:06,0,,UKR,Stefan,Radovych,UKR,Tamara,Baibuz,,,
2202,ultraveteran,men,ORILCI DNIPRA,115,23:19:31,0,,UKR,Olga,Shram,UKR,Sergii,Kasianenko,UKR,Natalia,Kozatchenko
2210,open,women,Kangdjoktjo,112,23:29:23,0,,UKR,Michailo,Sabatin,CZE,Zuzana,Setinkova,,,
1401,open,women,KAUTKURTEPAT,111,23:17:21,0,,LAT,Lāsma,Šlosberga,LAT,Santa,Blūma,,,
2601,ultraveteran,men,UR2ON,110,23:21:29,0,,RUS,Olga,Lavrinovich,UKR,Halyna,Khoruzhenko,,,
2401,ultraveteran,men,Stumps,110,23:32:59,0,,UKR,Yrii,Kolosary,UKR,Alexander,Avilov,,,
808,ultraveteran,mixed,Krakow-Dnepr,108,18:10:13,0,,UKR,Olga,Kulikova,UKR,Yuliya,Kravchuk,,,
803,open,men,Izturiba Ladies,104,21:46:53,0,,LAT,Ieva,Dobule,LAT,Dace,Stipniece,,,
