id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
62,women,youth,23:04:29,80,0,,FIN,Pinja,Rastas,FIN,Oona,Mikkola,,,,,,
63,mixed,veteran,23:31:08,75,0,,FIN,Niina,Heikkilä,FIN,Tomi,Aalto,FIN,Terhi,Tapala,FIN,Kari,Kanerva
64,mixed,veteran,16:36:56,74,0,,FIN,Juha,Kotaniemi,FIN,Sari,Kotaniemi,,,,,,
65,women,open,12:15:44,61,0,,RUS,Anna,Lisenenkova,RUS,Marina,Palechkina,,,,,,
66,mixed,ultraveteran,8:03:49,44,0,,FIN,Ilkka,Lainema,FIN,Maija,Lainema,,,,,,
67,women,superveteran,8:39:04,24,0,,FIN,Tuire,Laine,FIN,Maarit,Laine,,,,,,
68,women,open,24:26:57,23,108,,FIN,Taru,Loimaranta,FIN,Paula,Lehtola,,,,,,
69,men,open,0:00:00,0,0,not started,FIN,Juho,Toivola,FIN,Harri,Länsipuro,,,,,,
70,men,veteran,0:00:00,0,0,not started,FIN,Janne,Snellman,FIN,Juha,Päivärinta,,,,,,
71,men,veteran,0:00:00,0,0,not started,FIN,Juha,Lehtonen,FIN,Toivo,Mukavaa,,,,,,
72,women,veteran,0:00:00,0,0,not started,FIN,Nina,Frant,FIN,Teija,Parkkinen,,,,,,
73,women,veteran,0:00:00,0,0,not started,FIN,Merja,Hakala,FIN,Milla,Seppä,,,,,,
